"","id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","FDR"
"1","06l9Qq","ieu-b-18","multiple sclerosis || id:ieu-b-18","TAPBPL (Artery Coronary)","Wald ratio",1,0.0669307152365298,0.0196977942504874,0.000679105274265866,0.0161069840691263
"2","09Z3ne","ieu-b-18","multiple sclerosis || id:ieu-b-18","NMI (Artery Coronary)","Wald ratio",1,-0.0155482727551758,0.0775030775882269,0.840999700411994,0.962618136717877
"3","0AZd7Y","ieu-b-18","multiple sclerosis || id:ieu-b-18","ZNF404 (Artery Coronary)","Wald ratio",1,-0.0496500074755685,0.0315968008450305,0.116098621834402,0.507473051051169
"4","0eAKJI","ieu-b-18","multiple sclerosis || id:ieu-b-18","NIPAL1 (Artery Coronary)","Wald ratio",1,-0.066551651207058,0.0349395212053459,0.0568103496069886,0.357480091064384
"5","0FElhC","ieu-b-18","multiple sclerosis || id:ieu-b-18","ZNF155 (Artery Coronary)","Wald ratio",1,-0.0126644593208794,0.0404816322049588,0.754398742383183,0.961656246788804
"6","0hJgCv","ieu-b-18","multiple sclerosis || id:ieu-b-18","APOBEC3B (Artery Coronary)","Wald ratio",1,-0.00877419842057567,0.0792121218659647,0.911800020065135,0.978056305895866
"7","0iUqkt","ieu-b-18","multiple sclerosis || id:ieu-b-18","CPSF1 (Artery Coronary)","Inverse variance weighted",2,0.00407111658030252,0.021875216518796,0.85236136668489,0.96541254107268
"8","0jEke1","ieu-b-18","multiple sclerosis || id:ieu-b-18","ETV3 (Artery Coronary)","Wald ratio",1,0.0312646293494705,0.130599213313162,0.810800311966655,0.962618136717877
"9","0MXf00","ieu-b-18","multiple sclerosis || id:ieu-b-18","LRRC23 (Artery Coronary)","Wald ratio",1,-0.0606004439297771,0.0520596134272115,0.244400239688426,0.684614184819278
"10","0oE1rS","ieu-b-18","multiple sclerosis || id:ieu-b-18","FBXO6 (Artery Coronary)","Wald ratio",1,-0.00538851461046491,0.0547510682551492,0.921600034436283,0.978737120382964
"11","0t8xh6","ieu-b-18","multiple sclerosis || id:ieu-b-18","SP140 (Artery Coronary)","Wald ratio",1,0.0533214844682601,0.113906676923893,0.639701973812377,0.934596703979062
"12","0UhThv","ieu-b-18","multiple sclerosis || id:ieu-b-18","LTBR (Artery Coronary)","Inverse variance weighted",2,0.038688011731744,0.0988252720571545,0.6954432601492,0.943233160759545
"13","0yHwt5","ieu-b-18","multiple sclerosis || id:ieu-b-18","EEF1AKMT3 (Artery Coronary)","Wald ratio",1,-0.231433453347165,0.0359901141148471,1.27207562529622e-10,2.35333990679801e-08
"14","0YV03u","ieu-b-18","multiple sclerosis || id:ieu-b-18","SV2B (Artery Coronary)","Wald ratio",1,-0.0393230209992476,0.0536156684939628,0.463299832125362,0.862278359589457
"15","10HOSY","ieu-b-18","multiple sclerosis || id:ieu-b-18","GRWD1 (Artery Coronary)","Wald ratio",1,-0.0681071077929325,0.107845907174188,0.527698997552714,0.892361193302121
"16","11g2rJ","ieu-b-18","multiple sclerosis || id:ieu-b-18","BANF1 (Artery Coronary)","Wald ratio",1,0.556088360346536,0.106868706243407,1.95598843523966e-07,1.29234950185478e-05
"17","15p7aV","ieu-b-18","multiple sclerosis || id:ieu-b-18","KIAA0408 (Artery Coronary)","Wald ratio",1,0.181922960962693,0.0681763364182156,0.00762093864785524,0.103667180136266
"18","1bKfDf","ieu-b-18","multiple sclerosis || id:ieu-b-18","CCL22 (Artery Coronary)","Wald ratio",1,-0.0163715241172692,0.0529775768482061,0.757300665596272,0.961656246788804
"19","1BKzpq","ieu-b-18","multiple sclerosis || id:ieu-b-18","SELENON (Artery Coronary)","Wald ratio",1,0.0405305136645088,0.0898712056796783,0.652000777210907,0.934596703979062
"20","1eyVqp","ieu-b-18","multiple sclerosis || id:ieu-b-18","EBPL (Artery Coronary)","Wald ratio",1,0.0744429193509079,0.0324756406542421,0.0218900988230823,0.183831733155736
"21","1HbC9k","ieu-b-18","multiple sclerosis || id:ieu-b-18","GRN (Artery Coronary)","Wald ratio",1,-0.0150722258105408,0.13114191028667,0.908500085923063,0.978056305895866
"22","1Iu3p9","ieu-b-18","multiple sclerosis || id:ieu-b-18","LDLRAP1 (Artery Coronary)","Wald ratio",1,-0.0801351950420551,0.0487475714578988,0.100200834171607,0.463428858043682
"23","1mLcor","ieu-b-18","multiple sclerosis || id:ieu-b-18","RHD (Artery Coronary)","Inverse variance weighted",2,0.00551409529204923,0.0209775110016201,0.792660444352274,0.962618136717877
"24","1pvRtJ","ieu-b-18","multiple sclerosis || id:ieu-b-18","ANXA5 (Artery Coronary)","Wald ratio",1,0.0181436250180201,0.0580692107557441,0.75469986344588,0.961656246788804
"25","1tYI6K","ieu-b-18","multiple sclerosis || id:ieu-b-18","FBXL20 (Artery Coronary)","Wald ratio",1,-0.0193920683540222,0.0768575689182654,0.800800100264086,0.962618136717877
