"","id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","FDR"
"1","0AWuJr","ieu-b-18","multiple sclerosis || id:ieu-b-18","KCNJ14 (Brain Caudate basal ganglia)","Wald ratio",1,0.0326035222566322,0.0971221223088691,0.737100011567299,0.940824264202156
"2","0DVqxS","ieu-b-18","multiple sclerosis || id:ieu-b-18","REEP3 (Brain Caudate basal ganglia)","Wald ratio",1,-0.101337154266738,0.0892887994578965,0.256401752991136,0.645615924797824
"3","0EQqWk","ieu-b-18","multiple sclerosis || id:ieu-b-18","HAUS8 (Brain Caudate basal ganglia)","Wald ratio",1,-0.025349087242813,0.0367045718160567,0.489801363853911,0.805109256094407
"4","0eROhM","ieu-b-18","multiple sclerosis || id:ieu-b-18","TNFSF9 (Brain Caudate basal ganglia)","Wald ratio",1,-0.0745608778732167,0.0747134667829249,0.318299881102994,0.702863548914754
"5","0G2Oqe","ieu-b-18","multiple sclerosis || id:ieu-b-18","PLLP (Brain Caudate basal ganglia)","Wald ratio",1,0.0896408772986447,0.15614122239758,0.565899260043789,0.853727331962613
"6","0HyL47","ieu-b-18","multiple sclerosis || id:ieu-b-18","HSD17B14 (Brain Caudate basal ganglia)","Wald ratio",1,0.0208172432189295,0.040687050848876,0.608900911788031,0.878222468925045
"7","0i3xaZ","ieu-b-18","multiple sclerosis || id:ieu-b-18","MBD6 (Brain Caudate basal ganglia)","Wald ratio",1,0.0663023759203087,0.0911332800402983,0.466900130312928,0.79241301909097
"8","0igwxs","ieu-b-18","multiple sclerosis || id:ieu-b-18","INTS6 (Brain Caudate basal ganglia)","Wald ratio",1,-0.030669641425502,0.0923458752708665,0.739800861799729,0.940824264202156
"9","0ihewg","ieu-b-18","multiple sclerosis || id:ieu-b-18","GRINA (Brain Caudate basal ganglia)","Wald ratio",1,-0.00695469323232022,0.173905111303328,0.968100054296164,0.987182019278841
"10","0OgtlZ","ieu-b-18","multiple sclerosis || id:ieu-b-18","STMN1 (Brain Caudate basal ganglia)","Wald ratio",1,-0.110577815957947,0.106228140148494,0.297900355836006,0.689178485827546
"11","0RBwRG","ieu-b-18","multiple sclerosis || id:ieu-b-18","CPT1B (Brain Caudate basal ganglia)","Wald ratio",1,-0.102110179331699,0.0428871113404722,0.0172701197603013,0.126880542386301
"12","0UsEK9","ieu-b-18","multiple sclerosis || id:ieu-b-18","PACC1 (Brain Caudate basal ganglia)","Wald ratio",1,-0.0550616831986265,0.0533243283332439,0.301800068077559,0.690392312595723
"13","13G0ln","ieu-b-18","multiple sclerosis || id:ieu-b-18","MAPK12 (Brain Caudate basal ganglia)","Wald ratio",1,-0.0136147552961136,0.0355076355507142,0.70139965619775,0.931061490527987
"14","1b4hiH","ieu-b-18","multiple sclerosis || id:ieu-b-18","SF3B2 (Brain Caudate basal ganglia)","Wald ratio",1,0.147292301829268,0.0493319904181185,0.00282896715294962,0.0341427070183575
"15","1BJ0q0","ieu-b-18","multiple sclerosis || id:ieu-b-18","FLRT1 (Brain Caudate basal ganglia)","Wald ratio",1,0.00340178274414392,0.150777856287803,0.98200001149203,0.989712905298106
"16","1GGIKI","ieu-b-18","multiple sclerosis || id:ieu-b-18","FBXO36 (Brain Caudate basal ganglia)","Wald ratio",1,0.0828721103253617,0.0462998358618785,0.0734698703803082,0.339041964471101
"17","1hoGRh","ieu-b-18","multiple sclerosis || id:ieu-b-18","SMARCE1 (Brain Caudate basal ganglia)","Wald ratio",1,-0.21918416633844,0.0870447148572732,0.0118001863953954,0.0940212891095012
