"","id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","FDR"
"1","00XlZZ","ieu-b-18","multiple sclerosis || id:ieu-b-18","SF3A1 (Brain Cerebellum)","Wald ratio",1,-0.135804998891344,0.0942934803385606,0.149800239563319,0.499466581249581
"2","01Q9ua","ieu-b-18","multiple sclerosis || id:ieu-b-18","GGA3 (Brain Cerebellum)","Wald ratio",1,0.183318409517846,0.0674574201628053,0.00657686985022754,0.0700603847604747
"3","02WgRS","ieu-b-18","multiple sclerosis || id:ieu-b-18","FDXR (Brain Cerebellum)","Wald ratio",1,0.0420662497710563,0.0888262382584578,0.635800083832438,0.901620593658025
"4","03vQA1","ieu-b-18","multiple sclerosis || id:ieu-b-18","IFT52 (Brain Cerebellum)","Wald ratio",1,-0.0393573910176755,0.050503131894606,0.435799512432175,0.77592066165332
"5","0aieie","ieu-b-18","multiple sclerosis || id:ieu-b-18","MYOM3 (Brain Cerebellum)","Wald ratio",1,0.0183445793365645,0.0241081503751289,0.446699758969504,0.785494077281811
"6","0EQniA","ieu-b-18","multiple sclerosis || id:ieu-b-18","FCGRT (Brain Cerebellum)","Wald ratio",1,0.151788395349467,0.143005501504106,0.288500672866168,0.681902782277165
"7","0hmBVc","ieu-b-18","multiple sclerosis || id:ieu-b-18","YTHDF1 (Brain Cerebellum)","Wald ratio",1,0.0943449589755424,0.108033035613452,0.38250104849054,0.742441762082073
"8","0iDH9N","ieu-b-18","multiple sclerosis || id:ieu-b-18","CYP4F2 (Brain Cerebellum)","Wald ratio",1,-0.0167593063519379,0.02552800440323,0.511498147402638,0.833351355912383
"9","0Iekc9","ieu-b-18","multiple sclerosis || id:ieu-b-18","CYHR1 (Brain Cerebellum)","Wald ratio",1,0.0397139494797084,0.0821767770729873,0.628900768989654,0.901620593658025
"10","0j7HkO","ieu-b-18","multiple sclerosis || id:ieu-b-18","SMIM43 (Brain Cerebellum)","Wald ratio",1,-0.0214938801864017,0.0213693784739768,0.314499194365186,0.705938370208998
"11","0jJJ1o","ieu-b-18","multiple sclerosis || id:ieu-b-18","CLCN7 (Brain Cerebellum)","Wald ratio",1,-0.00170396997819899,0.0457662144976685,0.970299984260973,0.9938380686626
"12","0LDHDW","ieu-b-18","multiple sclerosis || id:ieu-b-18","RGS19 (Brain Cerebellum)","Wald ratio",1,-0.0137460568769266,0.0367932863956757,0.708700213308499,0.920979401332245
"13","0Ncfwb","ieu-b-18","multiple sclerosis || id:ieu-b-18","PLAGL1 (Brain Cerebellum)","Wald ratio",1,0.0555422481131271,0.0917877393982175,0.545101790653036,0.846962856428759
"14","0OcOPB","ieu-b-18","multiple sclerosis || id:ieu-b-18","AHI1 (Brain Cerebellum)","Wald ratio",1,-0.0400497988324393,0.0204766882297255,0.0504801328206022,0.2795872844442
"15","0PVEq0","ieu-b-18","multiple sclerosis || id:ieu-b-18","SLC49A4 (Brain Cerebellum)","Wald ratio",1,0.0237735893042394,0.0699342976924541,0.73390037597134,0.931831083430277
"16","0PyG2g","ieu-b-18","multiple sclerosis || id:ieu-b-18","GMPR (Brain Cerebellum)","Wald ratio",1,0.00347248826384271,0.0852268328751352,0.96749992591587,0.9938380686626
"17","0rBX7h","ieu-b-18","multiple sclerosis || id:ieu-b-18","AK4 (Brain Cerebellum)","Wald ratio",1,0.0798206644770416,0.0566457518221431,0.158799673981976,0.519820807800375
"18","0t23pv","ieu-b-18","multiple sclerosis || id:ieu-b-18","RNASEH2B (Brain Cerebellum)","Inverse variance weighted",2,0.0417755716933583,0.0379192386825095,0.270592731275577,0.663294747607199
"19","0Uw91M","ieu-b-18","multiple sclerosis || id:ieu-b-18","PRR15L (Brain Cerebellum)","Wald ratio",1,-0.0360885160084956,0.0275735650518635,0.190599230732673,0.573601557635112
"20","0wuZGv","ieu-b-18","multiple sclerosis || id:ieu-b-18","FAAP20 (Brain Cerebellum)","Wald ratio",1,0.0118354741898274,0.0581433738619469,0.838699921173163,0.968976044578574
"21","0XeMMj","ieu-b-18","multiple sclerosis || id:ieu-b-18","ZBED4 (Brain Cerebellum)","Wald ratio",1,0.0535213943516925,0.0440156482427032,0.22399906317568,0.620191238792577
"22","0xHP5y","ieu-b-18","multiple sclerosis || id:ieu-b-18","KANK2 (Brain Cerebellum)","Wald ratio",1,0.0693076428514024,0.0714293176886603,0.331898540691198,0.711939361175488
"23","0yD3bn","ieu-b-18","multiple sclerosis || id:ieu-b-18","PIP5K1C (Brain Cerebellum)","Wald ratio",1,0.00921896527922519,0.0530737643902954,0.862100461495258,0.975691952585561
"24","10b7eO","ieu-b-18","multiple sclerosis || id:ieu-b-18","KIF14 (Brain Cerebellum)","Wald ratio",1,0.0724909108857239,0.0451664394825663,0.108499771038968,0.424872935189977
"25","18t9yK","ieu-b-18","multiple sclerosis || id:ieu-b-18","NCSTN (Brain Cerebellum)","Wald ratio",1,0.261933230479129,0.0594047312933916,1.03705694646361e-05,0.000524423066894521
"26","18UTtG","ieu-b-18","multiple sclerosis || id:ieu-b-18","ITIH2 (Brain Cerebellum)","Wald ratio",1,-0.0250839372946461,0.0467026939059532,0.591199718092845,0.881534568811652
