"","id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","FDR"
"1","08DvNJ","ieu-b-18","multiple sclerosis || id:ieu-b-18","AMFR (Brain Hippocampus)","Wald ratio",1,-0.0601566215859137,0.0786754426001105,0.444499335067872,0.786420921597431
"2","09ytcs","ieu-b-18","multiple sclerosis || id:ieu-b-18","SPATA45 (Brain Hippocampus)","Inverse variance weighted",2,0.0185377885179576,0.0338523131431587,0.583961277240248,0.850504208707861
"3","0awUi8","ieu-b-18","multiple sclerosis || id:ieu-b-18","NAV1 (Brain Hippocampus)","Wald ratio",1,-0.0835892474460604,0.0931641803466284,0.369598777485196,0.755945273279781
"4","0GBX5y","ieu-b-18","multiple sclerosis || id:ieu-b-18","CEACAM19 (Brain Hippocampus)","Inverse variance weighted",2,-0.0198958605226733,0.0489754342290954,0.684565064334882,0.885895043157922
"5","0huTnC","ieu-b-18","multiple sclerosis || id:ieu-b-18","POLR2L (Brain Hippocampus)","Wald ratio",1,-0.0076851511544348,0.101256191818845,0.939500179621868,0.983064554039379
"6","0iMfUZ","ieu-b-18","multiple sclerosis || id:ieu-b-18","ECSIT (Brain Hippocampus)","Wald ratio",1,0.197455184042644,0.151717912655182,0.193100169548451,0.595674802766794
"7","0Jt79b","ieu-b-18","multiple sclerosis || id:ieu-b-18","PI16 (Brain Hippocampus)","Wald ratio",1,-0.00774482073744364,0.0371822949685897,0.835000008592022,0.96558647610115
"8","0PfcwK","ieu-b-18","multiple sclerosis || id:ieu-b-18","RTP4 (Brain Hippocampus)","Wald ratio",1,-0.0154099606018693,0.0447019468544365,0.730299742905967,0.900000804959437
"9","0PjPSG","ieu-b-18","multiple sclerosis || id:ieu-b-18","ZDHHC24 (Brain Hippocampus)","Wald ratio",1,0.0274578233841062,0.0382287123535764,0.472602335343948,0.799962859673211
"10","0TbCjv","ieu-b-18","multiple sclerosis || id:ieu-b-18","SH2D7 (Brain Hippocampus)","Wald ratio",1,-0.0238860348191822,0.0411603443988823,0.561701074407149,0.835210056912675
"11","0tUyQd","ieu-b-18","multiple sclerosis || id:ieu-b-18","DECR2 (Brain Hippocampus)","Wald ratio",1,-0.0310589062389438,0.0390581666868294,0.426499374300189,0.786420921597431
"12","0uH1Hv","ieu-b-18","multiple sclerosis || id:ieu-b-18","RCN3 (Brain Hippocampus)","Wald ratio",1,0.00432883279663832,0.0969874803251939,0.964399916022915,0.994038079328737
"13","0zkMJm","ieu-b-18","multiple sclerosis || id:ieu-b-18","UBA52 (Brain Hippocampus)","Wald ratio",1,0.115298160663676,0.0957235143601336,0.228399660318386,0.635470914514706
"14","15yJuk","ieu-b-18","multiple sclerosis || id:ieu-b-18","ZNF426 (Brain Hippocampus)","Inverse variance weighted",2,0.0340893159938376,0.0388692314326903,0.380472663876566,0.758174827810194
"15","1CcsvC","ieu-b-18","multiple sclerosis || id:ieu-b-18","SPOCD1 (Brain Hippocampus)","Wald ratio",1,0.0135011810072824,0.0493717983707401,0.784500118475951,0.929554102398332
"16","1EA7Da","ieu-b-18","multiple sclerosis || id:ieu-b-18","CALML6 (Brain Hippocampus)","Wald ratio",1,-0.119498797098948,0.0385571175461523,0.00194000186485791,0.0304461517158313
"17","1Hwqdg","ieu-b-18","multiple sclerosis || id:ieu-b-18","HSD17B6 (Brain Hippocampus)","Wald ratio",1,0.00253668058891755,0.0685938104080973,0.970500005390138,0.994452201898492
"18","24TuXS","ieu-b-18","multiple sclerosis || id:ieu-b-18","RAB3IL1 (Brain Hippocampus)","Wald ratio",1,-0.0863505864313329,0.0730849224344649,0.237400076088951,0.649682058763001
"19","27ufTp","ieu-b-18","multiple sclerosis || id:ieu-b-18","CDK3 (Brain Hippocampus)","Wald ratio",1,-0.141012620875777,0.0393384439785984,0.000337594062829752,0.00811280732237748
"20","2EmEc3","ieu-b-18","multiple sclerosis || id:ieu-b-18","GSDMA (Brain Hippocampus)","Wald ratio",1,0.0343249054796335,0.0334972026047877,0.305500226369825,0.719680585628994
"21","2JngOx","ieu-b-18","multiple sclerosis || id:ieu-b-18","EFNA1 (Brain Hippocampus)","Wald ratio",1,0.116860895207791,0.085223092591279,0.170301682185253,0.557285079150892
"22","2jXel9","ieu-b-18","multiple sclerosis || id:ieu-b-18","GRIN2A (Brain Hippocampus)","Wald ratio",1,0.124407919099843,0.0939632530978493,0.185501022993091,0.579879214153199
"23","2o7k4l","ieu-b-18","multiple sclerosis || id:ieu-b-18","HOXB2 (Brain Hippocampus)","Wald ratio",1,-0.0162459016393443,0.0441025641025641,0.712600066755172,0.892490963085875
"24","2rozsu","ieu-b-18","multiple sclerosis || id:ieu-b-18","CDCA3 (Brain Hippocampus)","Wald ratio",1,0.0781823529094333,0.050081484639336,0.118499464530132,0.461777296616834
"25","2w4SnW","ieu-b-18","multiple sclerosis || id:ieu-b-18","KCNN3 (Brain Hippocampus)","Inverse variance weighted",2,-0.0441936501289395,0.0645147616359585,0.493333764198187,0.807769105250458
