"","id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","FDR"
"1","05WdB6","ieu-b-18","multiple sclerosis || id:ieu-b-18","PACS1 (Brain Nucleus accumbens basal ganglia)","Wald ratio",1,0.0879134449259354,0.107644942929164,0.414100846975405,0.799745175733891
"2","06VLDN","ieu-b-18","multiple sclerosis || id:ieu-b-18","TPD52L2 (Brain Nucleus accumbens basal ganglia)","Wald ratio",1,0.051733245677592,0.0902977594544356,0.566699961991748,0.870582550306163
"3","07xtO7","ieu-b-18","multiple sclerosis || id:ieu-b-18","NIPAL1 (Brain Nucleus accumbens basal ganglia)","Wald ratio",1,-0.115187041742977,0.0543682152611867,0.0341203329689857,0.241117019647499
"4","08txDG","ieu-b-18","multiple sclerosis || id:ieu-b-18","LINC02210-CRHR1 (Brain Nucleus accumbens basal ganglia)","Wald ratio",1,-0.000347767568357133,0.044754011699486,0.993799984168223,0.997536909940196
"5","0bG8p0","ieu-b-18","multiple sclerosis || id:ieu-b-18","TGFBR1 (Brain Nucleus accumbens basal ganglia)","Wald ratio",1,-0.109478625595235,0.0814108350314306,0.178700406110486,0.61323808427843
"6","0eEaKp","ieu-b-18","multiple sclerosis || id:ieu-b-18","MYC (Brain Nucleus accumbens basal ganglia)","Wald ratio",1,-0.0937339351065897,0.0529180375906562,0.0765101518198097,0.404241981665248
"7","0ftwr6","ieu-b-18","multiple sclerosis || id:ieu-b-18","CYC1 (Brain Nucleus accumbens basal ganglia)","Wald ratio",1,0.125191096122749,0.506031754395787,0.804600447957048,0.951163354833982
"8","0KjDAe","ieu-b-18","multiple sclerosis || id:ieu-b-18","GIPC3 (Brain Nucleus accumbens basal ganglia)","Inverse variance weighted",2,0.00639812588762392,0.0338291270036361,0.849990394070442,0.966463191082051
"9","0kLEs5","ieu-b-18","multiple sclerosis || id:ieu-b-18","TMEM50B (Brain Nucleus accumbens basal ganglia)","Wald ratio",1,-0.0718418531864801,0.0285135841628626,0.0117499656852614,0.117994392249888
"10","0kuRas","ieu-b-18","multiple sclerosis || id:ieu-b-18","ANXA11 (Brain Nucleus accumbens basal ganglia)","Wald ratio",1,-0.0498313695566721,0.056217525013791,0.37540053033074,0.78840411402395
"11","0lh0Ru","ieu-b-18","multiple sclerosis || id:ieu-b-18","WDR92 (Brain Nucleus accumbens basal ganglia)","Wald ratio",1,0.0325635476240789,0.0639480985133026,0.610599155746238,0.885275979607768
"12","0LsjNM","ieu-b-18","multiple sclerosis || id:ieu-b-18","SNX15 (Brain Nucleus accumbens basal ganglia)","Inverse variance weighted",2,0.0433017999835947,0.0307744561618257,0.159406768230072,0.58379725500421
"13","0NjJoK","ieu-b-18","multiple sclerosis || id:ieu-b-18","LKAAEAR1 (Brain Nucleus accumbens basal ganglia)","Wald ratio",1,-0.000780046795788379,0.0570978811906928,0.989099981954076,0.997536909940196
"14","0NyDiy","ieu-b-18","multiple sclerosis || id:ieu-b-18","KRI1 (Brain Nucleus accumbens basal ganglia)","Inverse variance weighted",2,-0.0216660478130954,0.0728297338958828,0.766093172251227,0.945240343501252
"15","0Q2f5N","ieu-b-18","multiple sclerosis || id:ieu-b-18","ZNF425 (Brain Nucleus accumbens basal ganglia)","Inverse variance weighted",2,0.0051637962228626,0.0395843857265666,0.896210148327553,0.981612493116516
"16","0qbEua","ieu-b-18","multiple sclerosis || id:ieu-b-18","TNFRSF17 (Brain Nucleus accumbens basal ganglia)","Wald ratio",1,-0.0416610090314544,0.0311656804733728,0.181301262160138,0.617719300359899
"17","0rJvz2","ieu-b-18","multiple sclerosis || id:ieu-b-18","MALT1 (Brain Nucleus accumbens basal ganglia)","Wald ratio",1,0.236792752472389,0.0594145672417527,6.73572989193672e-05,0.00229495939889558
"18","0rTafP","ieu-b-18","multiple sclerosis || id:ieu-b-18","ANKRD24 (Brain Nucleus accumbens basal ganglia)","Wald ratio",1,-0.0142110982052531,0.0840915733073551,0.865800174158318,0.970306617752524
"19","0Tf4zo","ieu-b-18","multiple sclerosis || id:ieu-b-18","VCL (Brain Nucleus accumbens basal ganglia)","Wald ratio",1,0.0520914543598311,0.0517790848763284,0.314399823679288,0.749741757152994
"20","0tGGpU","ieu-b-18","multiple sclerosis || id:ieu-b-18","TBX15 (Brain Nucleus accumbens basal ganglia)","Wald ratio",1,-0.055976002228033,0.0774953195834816,0.47010106700232,0.8360422417545
"21","0VnBgz","ieu-b-18","multiple sclerosis || id:ieu-b-18","MEIOB (Brain Nucleus accumbens basal ganglia)","Wald ratio",1,-0.0112898945266009,0.033538534498876,0.736399937063183,0.935022095954948
"22","0zt6Zj","ieu-b-18","multiple sclerosis || id:ieu-b-18","ANKRD6 (Brain Nucleus accumbens basal ganglia)","Wald ratio",1,0.0464344167405172,0.0680953749610788,0.495300508701788,0.847550636564376
"23","118D6S","ieu-b-18","multiple sclerosis || id:ieu-b-18","CASKIN2 (Brain Nucleus accumbens basal ganglia)","Wald ratio",1,0.188332670313277,0.10544952759821,0.0740995436982641,0.402835789921572
"24","11hhwP","ieu-b-18","multiple sclerosis || id:ieu-b-18","PABPC1L (Brain Nucleus accumbens basal ganglia)","Wald ratio",1,-0.1509318835945,0.0576143268308283,0.00880088001622737,0.0939038337670912
"25","17dRCr","ieu-b-18","multiple sclerosis || id:ieu-b-18","SASS6 (Brain Nucleus accumbens basal ganglia)","Wald ratio",1,0.0465266168560154,0.0560993881705389,0.40690044349643,0.795457014540152
"26","197hxX","ieu-b-18","multiple sclerosis || id:ieu-b-18","ZNF627 (Brain Nucleus accumbens basal ganglia)","Wald ratio",1,0.0198369494664509,0.0474185107935876,0.675700249104007,0.911690455063846
"27","19oYYC","ieu-b-18","multiple sclerosis || id:ieu-b-18","FAM71F2 (Brain Nucleus accumbens basal ganglia)","Wald ratio",1,0.0209011565311013,0.0644208661827528,0.745599644430652,0.938519181348057
"28","1AHHQI","ieu-b-18","multiple sclerosis || id:ieu-b-18","NSUN2 (Brain Nucleus accumbens basal ganglia)","Wald ratio",1,-0.0379629051131219,0.0185031794860934,0.0401991853930109,0.264482916309879
"29","1b2anM","ieu-b-18","multiple sclerosis || id:ieu-b-18","ABHD12B (Brain Nucleus accumbens basal ganglia)","Wald ratio",1,0.0193686600519876,0.0719227477334686,0.787700286251043,0.945240343501252
"30","1cqRQa","ieu-b-18","multiple sclerosis || id:ieu-b-18","RECQL4 (Brain Nucleus accumbens basal ganglia)","Wald ratio",1,0.156051080654504,0.109228741636685,0.153101067324637,0.574985230940007
"31","1cueA2","ieu-b-18","multiple sclerosis || id:ieu-b-18","MYH14 (Brain Nucleus accumbens basal ganglia)","Wald ratio",1,0.202279912385762,0.118906116811791,0.0889104479697698,0.435789191197828
"32","1HDkML","ieu-b-18","multiple sclerosis || id:ieu-b-18","DYNC1H1 (Brain Nucleus accumbens basal ganglia)","Wald ratio",1,-0.0802455576993133,0.127654384284307,0.52960064054826,0.855219108524863
"33","1r2HjF","ieu-b-18","multiple sclerosis || id:ieu-b-18","TCF7 (Brain Nucleus accumbens basal ganglia)","Wald ratio",1,-0.00448286027390237,0.0777135496440038,0.954000011894146,0.983670627372647
"34","1uIEVq","ieu-b-18","multiple sclerosis || id:ieu-b-18","MACROH2A1 (Brain Nucleus accumbens basal ganglia)","Wald ratio",1,-0.497093926419884,0.108945553745311,5.04821768749322e-06,0.000229333317803263
"35","1ziFO9","ieu-b-18","multiple sclerosis || id:ieu-b-18","MOV10L1 (Brain Nucleus accumbens basal ganglia)","Wald ratio",1,0.0635452230894445,0.0455937226094578,0.163399921447464,0.590467897957881
"36","22BgW2","ieu-b-18","multiple sclerosis || id:ieu-b-18","TNFAIP3 (Brain Nucleus accumbens basal ganglia)","Wald ratio",1,0.0583801598179753,0.0625570233299536,0.350700659519497,0.769093907826265
"37","23xTmd","ieu-b-18","multiple sclerosis || id:ieu-b-18","ATP6V0E2 (Brain Nucleus accumbens basal ganglia)","Wald ratio",1,-0.0183425064609106,0.0313270375142438,0.558200280061689,0.866510382045166
"38","26G2sc","ieu-b-18","multiple sclerosis || id:ieu-b-18","TSKS (Brain Nucleus accumbens basal ganglia)","Wald ratio",1,0.0115624714485016,0.0554423133976719,0.834799870430006,0.960756749009693
"39","29n306","ieu-b-18","multiple sclerosis || id:ieu-b-18","ANGPTL7 (Brain Nucleus accumbens basal ganglia)","Wald ratio",1,0.00965426659691054,0.0448321722609246,0.829500391496057,0.960756749009693
"40","2cGRKU","ieu-b-18","multiple sclerosis || id:ieu-b-18","PHLDA3 (Brain Nucleus accumbens basal ganglia)","Wald ratio",1,0.0439068715043621,0.0484587383340433,0.364900305143023,0.775311561484285
"41","2CIwlA","ieu-b-18","multiple sclerosis || id:ieu-b-18","PTPN21 (Brain Nucleus accumbens basal ganglia)","Wald ratio",1,-0.047099245048001,0.106297089561308,0.657700177797402,0.904100820776256
"42","2ePiPE","ieu-b-18","multiple sclerosis || id:ieu-b-18","CA4 (Brain Nucleus accumbens basal ganglia)","Wald ratio",1,0.0144686885507931,0.121488497266033,0.905199987837927,0.981812320356169
"43","2fLPSM","ieu-b-18","multiple sclerosis || id:ieu-b-18","ZNF155 (Brain Nucleus accumbens basal ganglia)","Wald ratio",1,0.00617268018936725,0.0446721301343617,0.890100191257436,0.978289841543311
"44","2FlvEs","ieu-b-18","multiple sclerosis || id:ieu-b-18","LPIN3 (Brain Nucleus accumbens basal ganglia)","Wald ratio",1,-0.101120157718207,0.0627185907775815,0.106900232112323,0.47611929857963
"45","2hg7B8","ieu-b-18","multiple sclerosis || id:ieu-b-18","HAGH (Brain Nucleus accumbens basal ganglia)","Wald ratio",1,0.0783642252524428,0.0919158433357829,0.393900613327688,0.793561510655976
"46","2JA4Ij","ieu-b-18","multiple sclerosis || id:ieu-b-18","TMEM234 (Brain Nucleus accumbens basal ganglia)","Wald ratio",1,0.171526286087416,0.101168566017332,0.0899900111802642,0.435789191197828
"47","2l8Zuc","ieu-b-18","multiple sclerosis || id:ieu-b-18","LRRC61 (Brain Nucleus accumbens basal ganglia)","Wald ratio",1,0.013630721686045,0.0203463546743233,0.502899647800887,0.852160326824238
"48","2PGXA3","ieu-b-18","multiple sclerosis || id:ieu-b-18","RNASEH2B (Brain Nucleus accumbens basal ganglia)","Wald ratio",1,0.0266150061426541,0.0512303374846434,0.603400602647293,0.885275979607768
"49","2rrpt0","ieu-b-18","multiple sclerosis || id:ieu-b-18","MT1H (Brain Nucleus accumbens basal ganglia)","Wald ratio",1,0.0765007792900543,0.071656595627641,0.285699737957491,0.721633781754299
"50","2u9YS6","ieu-b-18","multiple sclerosis || id:ieu-b-18","UBXN6 (Brain Nucleus accumbens basal ganglia)","Wald ratio",1,0.313844512477966,0.089791724649782,0.000473618169248788,0.0102689030332578
"51","2Ut7RT","ieu-b-18","multiple sclerosis || id:ieu-b-18","IGFL2 (Brain Nucleus accumbens basal ganglia)","Wald ratio",1,0.0450462494410055,0.0362583064623689,0.214099903711308,0.65465162865573
"52","2XMZrW","ieu-b-18","multiple sclerosis || id:ieu-b-18","TMEM221 (Brain Nucleus accumbens basal ganglia)","Wald ratio",1,-0.017282205626175,0.0833806205695165,0.835799897292917,0.960756749009693
