"","id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","FDR"
"1","04pr0F","ieu-b-18","multiple sclerosis || id:ieu-b-18","GREB1 (Brain Putamen basal ganglia)","Wald ratio",1,0.00460799833311686,0.0332267177555527,0.889700237651599,0.967278395624009
"2","05r3kc","ieu-b-18","multiple sclerosis || id:ieu-b-18","FCRLA (Brain Putamen basal ganglia)","Wald ratio",1,0.0303140195980792,0.0377938521094132,0.422501683319769,0.781688065146125
"3","0dqKys","ieu-b-18","multiple sclerosis || id:ieu-b-18","CENPO (Brain Putamen basal ganglia)","Inverse variance weighted",2,-0.064777477073406,0.0695579459171067,0.351712066624914,0.740914344283934
"4","0E0Xd6","ieu-b-18","multiple sclerosis || id:ieu-b-18","SIRT6 (Brain Putamen basal ganglia)","Wald ratio",1,-0.0404283134485473,0.0450498449686082,0.369498614597884,0.749509194998866
"5","0FzrgT","ieu-b-18","multiple sclerosis || id:ieu-b-18","TP53I3 (Brain Putamen basal ganglia)","Wald ratio",1,-0.0187252918585688,0.0560016930427422,0.738100296902878,0.923245017337309
"6","0gQ7BB","ieu-b-18","multiple sclerosis || id:ieu-b-18","COL24A1 (Brain Putamen basal ganglia)","Inverse variance weighted",2,-0.0193284955819529,0.0411540235181745,0.638596267762394,0.893530866006987
"7","0HVM8x","ieu-b-18","multiple sclerosis || id:ieu-b-18","CFAP91 (Brain Putamen basal ganglia)","Wald ratio",1,0.138134690714312,0.119372202510557,0.247200314257872,0.620016005597869
"8","0KxNs9","ieu-b-18","multiple sclerosis || id:ieu-b-18","SEMA5B (Brain Putamen basal ganglia)","Wald ratio",1,0.0249069914602027,0.0599099843798101,0.677600090147014,0.910371009033033
"9","0MTwlz","ieu-b-18","multiple sclerosis || id:ieu-b-18","MEIOB (Brain Putamen basal ganglia)","Wald ratio",1,-0.012047842920354,0.0400060404052166,0.763299660514671,0.930549744937422
"10","0tlhgR","ieu-b-18","multiple sclerosis || id:ieu-b-18","ZNF425 (Brain Putamen basal ganglia)","Wald ratio",1,0.0143768073471134,0.0384815673752057,0.708700120641878,0.916709900246959
"11","0ufepE","ieu-b-18","multiple sclerosis || id:ieu-b-18","CCNO (Brain Putamen basal ganglia)","Wald ratio",1,-0.00842146439483155,0.0300099646707129,0.77900013348293,0.935194939189007
"12","0z9Eas","ieu-b-18","multiple sclerosis || id:ieu-b-18","SHD (Brain Putamen basal ganglia)","Inverse variance weighted",2,-0.0537740165139498,0.0495335501236047,0.277652474692851,0.672408159170971
"13","10jjJf","ieu-b-18","multiple sclerosis || id:ieu-b-18","OGFR (Brain Putamen basal ganglia)","Wald ratio",1,-0.09602308058824,0.0737977177836821,0.193201643537347,0.561030770940866
"14","16w9SK","ieu-b-18","multiple sclerosis || id:ieu-b-18","C1QTNF6 (Brain Putamen basal ganglia)","Wald ratio",1,-0.0421549598348254,0.0270546931815332,0.11920041302517,0.441801692814791
"15","1Bl12R","ieu-b-18","multiple sclerosis || id:ieu-b-18","ZNF282 (Brain Putamen basal ganglia)","Wald ratio",1,-0.0129828472619812,0.0989382189142768,0.895599882445289,0.967278395624009
"16","1bl3Ms","ieu-b-18","multiple sclerosis || id:ieu-b-18","TSPAN4 (Brain Putamen basal ganglia)","Wald ratio",1,0.0344527639240672,0.138753035485808,0.803900151122579,0.94225277235814
"17","1dWoZV","ieu-b-18","multiple sclerosis || id:ieu-b-18","NET1 (Brain Putamen basal ganglia)","Wald ratio",1,-0.0656507581648523,0.136202857698289,0.629800831044402,0.891573875849667
"18","1FkGFK","ieu-b-18","multiple sclerosis || id:ieu-b-18","AFF1 (Brain Putamen basal ganglia)","Wald ratio",1,0.213141319662381,0.0889281967774359,0.0165398530147162,0.122130274660664
"19","1H19YH","ieu-b-18","multiple sclerosis || id:ieu-b-18","PRKD2 (Brain Putamen basal ganglia)","Wald ratio",1,0.0709743713733075,0.0400568181818182,0.0764207116586916,0.348334371201363
"20","1ikh5Q","ieu-b-18","multiple sclerosis || id:ieu-b-18","KPNA6 (Brain Putamen basal ganglia)","Wald ratio",1,0.118658877042953,0.0782875998692322,0.129600520951819,0.463648375343135
"21","1jJmHB","ieu-b-18","multiple sclerosis || id:ieu-b-18","HIBCH (Brain Putamen basal ganglia)","Wald ratio",1,0.0159065045651009,0.0347988082157221,0.647599803754297,0.895296799456096
"22","1nuLp7","ieu-b-18","multiple sclerosis || id:ieu-b-18","PACC1 (Brain Putamen basal ganglia)","Wald ratio",1,-0.071367249654918,0.0549100480644109,0.193699688060388,0.561030770940866
"23","1Oz7kJ","ieu-b-18","multiple sclerosis || id:ieu-b-18","SNAP29 (Brain Putamen basal ganglia)","Wald ratio",1,0.0255798868974309,0.0510039414531646,0.615999823386969,0.889175243061404
"24","1Q0QFX","ieu-b-18","multiple sclerosis || id:ieu-b-18","SRPK1 (Brain Putamen basal ganglia)","Wald ratio",1,-0.103440045537519,0.0667281684888217,0.12110057235335,0.441801692814791
"25","1TAF52","ieu-b-18","multiple sclerosis || id:ieu-b-18","LRRC61 (Brain Putamen basal ganglia)","Wald ratio",1,0.0117224330420355,0.0204346034718081,0.566200603498877,0.867740266591079
"26","1TAIjU","ieu-b-18","multiple sclerosis || id:ieu-b-18","SSR1 (Brain Putamen basal ganglia)","Wald ratio",1,0.0630150614041863,0.0592948688241806,0.287899627055067,0.672737609548929
"27","1wkose","ieu-b-18","multiple sclerosis || id:ieu-b-18","KRT23 (Brain Putamen basal ganglia)","Wald ratio",1,-0.0022850120045507,0.0241761377688658,0.924699924803339,0.971441747922811
"28","1Wumqh","ieu-b-18","multiple sclerosis || id:ieu-b-18","AP3S2 (Brain Putamen basal ganglia)","Wald ratio",1,0.0444477860385092,0.0325507592024004,0.172098612915872,0.534351731657501
"29","1XX6yB","ieu-b-18","multiple sclerosis || id:ieu-b-18","SNX11 (Brain Putamen basal ganglia)","Wald ratio",1,0.024142813936443,0.0512981970469389,0.637900198231953,0.893530866006987
"30","1YIsTH","ieu-b-18","multiple sclerosis || id:ieu-b-18","DNAJC5 (Brain Putamen basal ganglia)","Wald ratio",1,-0.0733883377497859,0.196434856152153,0.708700890370837,0.916709900246959
