"","id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","FDR"
"1","04preX","ieu-b-18","multiple sclerosis || id:ieu-b-18","PACC1 (Brain Spinal cord cervical c1)","Wald ratio",1,-0.064531826522054,0.0491167807366315,0.188898440920369,0.565175767727753
"2","0cb24H","ieu-b-18","multiple sclerosis || id:ieu-b-18","WNT3 (Brain Spinal cord cervical c1)","Wald ratio",1,-0.0452736125807589,0.0194123631076815,0.0196899030985895,0.181934704630967
"3","0djsUn","ieu-b-18","multiple sclerosis || id:ieu-b-18","MOV10L1 (Brain Spinal cord cervical c1)","Inverse variance weighted",2,0.00834024031612647,0.0198102016966756,0.673749722254645,0.906618558296056
"4","0dscx0","ieu-b-18","multiple sclerosis || id:ieu-b-18","TAC3 (Brain Spinal cord cervical c1)","Wald ratio",1,-0.0288257046937732,0.0819102440307677,0.72489961827051,0.917089931862827
"5","0F15sS","ieu-b-18","multiple sclerosis || id:ieu-b-18","SMIM14 (Brain Spinal cord cervical c1)","Wald ratio",1,-0.114957575556211,0.0817963211382958,0.159898639584434,0.533707789045435
"6","0nJfM4","ieu-b-18","multiple sclerosis || id:ieu-b-18","RASGRF1 (Brain Spinal cord cervical c1)","Wald ratio",1,0.0209764106221785,0.0611323249280228,0.731499728069431,0.917089931862827
"7","0NqlwB","ieu-b-18","multiple sclerosis || id:ieu-b-18","MVB12A (Brain Spinal cord cervical c1)","Wald ratio",1,0.0190520169179135,0.0592276952509191,0.747699583697687,0.917089931862827
"8","0o9Qxz","ieu-b-18","multiple sclerosis || id:ieu-b-18","TIMM29 (Brain Spinal cord cervical c1)","Wald ratio",1,-0.0838525022537169,0.0606644766771701,0.166899863654623,0.545573610908744
"9","0Rxbf5","ieu-b-18","multiple sclerosis || id:ieu-b-18","CLEC12B (Brain Spinal cord cervical c1)","Wald ratio",1,-0.034767827413014,0.0452719056479707,0.442500257133367,0.8020676509436
"10","0unphv","ieu-b-18","multiple sclerosis || id:ieu-b-18","IL12RB1 (Brain Spinal cord cervical c1)","Wald ratio",1,-0.0140565599147338,0.0586856823833934,0.810700206517448,0.945816907603689
"11","0yLXg2","ieu-b-18","multiple sclerosis || id:ieu-b-18","SNX29 (Brain Spinal cord cervical c1)","Wald ratio",1,-0.0542955411736679,0.0856026165329945,0.525901814255661,0.843120685031323
"12","19NkYv","ieu-b-18","multiple sclerosis || id:ieu-b-18","ATP6V1A (Brain Spinal cord cervical c1)","Wald ratio",1,-0.0741587119620354,0.0638556038688964,0.245499552867704,0.63959094036586
"13","1aaIxp","ieu-b-18","multiple sclerosis || id:ieu-b-18","FAM117B (Brain Spinal cord cervical c1)","Wald ratio",1,0.0136219347253619,0.0814011728215103,0.867099995511298,0.959904627618737
"14","1dZTfz","ieu-b-18","multiple sclerosis || id:ieu-b-18","QRICH2 (Brain Spinal cord cervical c1)","Wald ratio",1,0.117167248575608,0.0659020055994129,0.0754200987228603,0.385469528917579
"15","1fz1ed","ieu-b-18","multiple sclerosis || id:ieu-b-18","MFSD6 (Brain Spinal cord cervical c1)","Wald ratio",1,-0.303016272823236,0.113607194740858,0.00764798041692815,0.0981490820172446
"16","1gNqgh","ieu-b-18","multiple sclerosis || id:ieu-b-18","NCAPD2 (Brain Spinal cord cervical c1)","Wald ratio",1,0.140025286310607,0.0596486005565664,0.0188997060226043,0.17941775717349
"17","1HuosE","ieu-b-18","multiple sclerosis || id:ieu-b-18","SVOPL (Brain Spinal cord cervical c1)","Wald ratio",1,0.01709026297086,0.0526107891127862,0.745299662570732,0.917089931862827
"18","1Ok1c1","ieu-b-18","multiple sclerosis || id:ieu-b-18","CCDC80 (Brain Spinal cord cervical c1)","Wald ratio",1,-0.20357809541882,0.104696470889361,0.0518400095457169,0.323649789325962
"19","1Ps3WY","ieu-b-18","multiple sclerosis || id:ieu-b-18","SHFL (Brain Spinal cord cervical c1)","Wald ratio",1,-0.104990004184295,0.0609347249988377,0.0848900890070773,0.403969200167597
"20","1tE5GG","ieu-b-18","multiple sclerosis || id:ieu-b-18","UBLCP1 (Brain Spinal cord cervical c1)","Wald ratio",1,-0.126947264963508,0.138540207061886,0.359498693432173,0.763994704256413
"21","1ticAu","ieu-b-18","multiple sclerosis || id:ieu-b-18","FUT3 (Brain Spinal cord cervical c1)","Wald ratio",1,-0.0328789279837003,0.034337277642818,0.33830047988069,0.759103570736687
"22","1TYfBr","ieu-b-18","multiple sclerosis || id:ieu-b-18","PPM1N (Brain Spinal cord cervical c1)","Wald ratio",1,0.0691694262195388,0.0411422368786416,0.0927188935683914,0.419962047339185
"23","22YWY9","ieu-b-18","multiple sclerosis || id:ieu-b-18","UNK (Brain Spinal cord cervical c1)","Wald ratio",1,0.0982493042106478,0.0729762790339751,0.178199867621972,0.563493617424249
"24","24TvAS","ieu-b-18","multiple sclerosis || id:ieu-b-18","GPR160 (Brain Spinal cord cervical c1)","Wald ratio",1,-0.120245959484943,0.0699681077933447,0.0856904363991872,0.403969200167597
"25","2eVOEy","ieu-b-18","multiple sclerosis || id:ieu-b-18","STARD3NL (Brain Spinal cord cervical c1)","Wald ratio",1,-0.0275450560380156,0.0752419718750863,0.714300670610081,0.917089931862827
"26","2iTL8O","ieu-b-18","multiple sclerosis || id:ieu-b-18","PLCH2 (Brain Spinal cord cervical c1)","Wald ratio",1,0.11707974608005,0.103877025409444,0.259700403831045,0.659491461846043
"27","2jcOLF","ieu-b-18","multiple sclerosis || id:ieu-b-18","CRHR1 (Brain Spinal cord cervical c1)","Wald ratio",1,0.134583965337813,0.0606319591345336,0.0264400287917213,0.215563999443092
"28","2MexWg","ieu-b-18","multiple sclerosis || id:ieu-b-18","PGLS (Brain Spinal cord cervical c1)","Inverse variance weighted",2,0.00147964147581787,0.0427965231529868,0.972419536866227,0.989554682890301
"29","2mvrwz","ieu-b-18","multiple sclerosis || id:ieu-b-18","ACSBG1 (Brain Spinal cord cervical c1)","Inverse variance weighted",2,0.0518958360035864,0.0333808534273793,0.120027362699563,0.472607740629529
"30","2nunvX","ieu-b-18","multiple sclerosis || id:ieu-b-18","TEN1 (Brain Spinal cord cervical c1)","Wald ratio",1,-0.0986916040650196,0.027532103960325,0.000337594062829752,0.00800769514661346
"31","2oI2fi","ieu-b-18","multiple sclerosis || id:ieu-b-18","SFI1 (Brain Spinal cord cervical c1)","Wald ratio",1,0.12357645860178,0.0507644361871086,0.0149201425172933,0.154736921079231
"32","2ryukR","ieu-b-18","multiple sclerosis || id:ieu-b-18","UBXN4 (Brain Spinal cord cervical c1)","Wald ratio",1,-0.0302666285060103,0.115623735928258,0.793500081929955,0.935196525131733
"33","2utLYn","ieu-b-18","multiple sclerosis || id:ieu-b-18","APOBEC3D (Brain Spinal cord cervical c1)","Wald ratio",1,0.0594606370080093,0.0441145349662276,0.177700353454742,0.563493617424249
"34","2uXMIT","ieu-b-18","multiple sclerosis || id:ieu-b-18","CSTA (Brain Spinal cord cervical c1)","Wald ratio",1,-0.0570089471547431,0.0475746581220739,0.230798329798194,0.624778291211517
"35","2Wgh9l","ieu-b-18","multiple sclerosis || id:ieu-b-18","IQCE (Brain Spinal cord cervical c1)","Wald ratio",1,0.0544876173747099,0.0621703749484961,0.380799499959711,0.781160379385607
"36","2Z65EY","ieu-b-18","multiple sclerosis || id:ieu-b-18","RCN3 (Brain Spinal cord cervical c1)","Wald ratio",1,0.0269806822197777,0.0859905028794991,0.753700658742583,0.917951768907926
"37","31AxNR","ieu-b-18","multiple sclerosis || id:ieu-b-18","ECHDC1 (Brain Spinal cord cervical c1)","Wald ratio",1,-0.220124765499627,0.0743227177180571,0.00305903314125027,0.0517051211435716
