"","id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","FDR"
"1","0Cxwog","ieu-b-18","multiple sclerosis || id:ieu-b-18","PEF1 (Brain Substantia nigra)","Wald ratio",1,0.0859866991046324,0.0828952878537101,0.299599342377592,0.758064610522845
"2","0eqeZq","ieu-b-18","multiple sclerosis || id:ieu-b-18","PEX11A (Brain Substantia nigra)","Inverse variance weighted",2,-0.0230668673993125,0.0532643825607839,0.664968536812857,0.919912222569279
"3","0inSfX","ieu-b-18","multiple sclerosis || id:ieu-b-18","APOA2 (Brain Substantia nigra)","Wald ratio",1,-0.0203495681266887,0.0326811026540261,0.533500879194619,0.884627451270413
"4","0S3MJE","ieu-b-18","multiple sclerosis || id:ieu-b-18","RCAN3 (Brain Substantia nigra)","Wald ratio",1,-0.035922678297914,0.0656933400069998,0.584499827207594,0.887258568873995
"5","0wwROW","ieu-b-18","multiple sclerosis || id:ieu-b-18","ZNF541 (Brain Substantia nigra)","Wald ratio",1,-0.0649922193209521,0.0361385224622364,0.0721105731972793,0.392048470845441
"6","12nVwa","ieu-b-18","multiple sclerosis || id:ieu-b-18","SEPTIN1 (Brain Substantia nigra)","Wald ratio",1,-0.111684539195864,0.0442156988201571,0.011540154060884,0.132028697654092
"7","1ah4Et","ieu-b-18","multiple sclerosis || id:ieu-b-18","TRIM65 (Brain Substantia nigra)","Wald ratio",1,0.106840936508302,0.0376729827958476,0.00456810894374011,0.0732068740983992
"8","1cb8cO","ieu-b-18","multiple sclerosis || id:ieu-b-18","SPPL2C (Brain Substantia nigra)","Wald ratio",1,0.0358286924939467,0.0356212671509282,0.314500684812489,0.776928569200813
"9","1g4A5S","ieu-b-18","multiple sclerosis || id:ieu-b-18","ADPRH (Brain Substantia nigra)","Wald ratio",1,-0.00263469173927429,0.05588823606084,0.962399931943601,0.982945294918555
"10","1hmXkF","ieu-b-18","multiple sclerosis || id:ieu-b-18","CHAF1A (Brain Substantia nigra)","Inverse variance weighted",2,0.048102870085197,0.0628886163851622,0.444337084160442,0.843375871903919
"11","1iARdF","ieu-b-18","multiple sclerosis || id:ieu-b-18","KRI1 (Brain Substantia nigra)","Wald ratio",1,-0.0233567282821273,0.0282827581856034,0.408900973080815,0.843375871903919
"12","1LZR6C","ieu-b-18","multiple sclerosis || id:ieu-b-18","PYGO2 (Brain Substantia nigra)","Wald ratio",1,0.020062993966705,0.048561559007416,0.679499948932307,0.919912222569279
"13","1PqKXn","ieu-b-18","multiple sclerosis || id:ieu-b-18","CPVL (Brain Substantia nigra)","Wald ratio",1,-0.0346786842894379,0.0482599243420294,0.472398873346283,0.862065234674306
"14","1s3Csv","ieu-b-18","multiple sclerosis || id:ieu-b-18","ZNF823 (Brain Substantia nigra)","Wald ratio",1,-0.0984818031727801,0.0481132007752494,0.0406701647079625,0.278261930673216
"15","1Tg0m4","ieu-b-18","multiple sclerosis || id:ieu-b-18","SPATA45 (Brain Substantia nigra)","Wald ratio",1,-0.0330455303394285,0.0314968581899029,0.294100297842072,0.756430807206975
