"","id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","FDR"
"1","0551UL","ieu-b-18","multiple sclerosis || id:ieu-b-18","IRF7 (Colon Sigmoid)","Wald ratio",1,0.0838291327387876,0.103572702597906,0.418299607843488,0.749202700773966
"2","091PrR","ieu-b-18","multiple sclerosis || id:ieu-b-18","KRI1 (Colon Sigmoid)","Wald ratio",1,0.028486783480512,0.0385557484152424,0.460000153637491,0.780027923042274
"3","094GG4","ieu-b-18","multiple sclerosis || id:ieu-b-18","FRA10AC1 (Colon Sigmoid)","Wald ratio",1,0.00480412646828846,0.0242092825189014,0.842699646444134,0.943515768530144
"4","0A3Tjw","ieu-b-18","multiple sclerosis || id:ieu-b-18","KLRC4 (Colon Sigmoid)","Wald ratio",1,-0.00749677684013127,0.0523831848726364,0.886200001809877,0.953890432150052
"5","0Auq97","ieu-b-18","multiple sclerosis || id:ieu-b-18","CCDC159 (Colon Sigmoid)","Wald ratio",1,-0.185768977558965,0.123777765056103,0.133400384835431,0.467409317191319
"6","0beTXH","ieu-b-18","multiple sclerosis || id:ieu-b-18","SLC35C2 (Colon Sigmoid)","Wald ratio",1,-0.171489980607628,0.180998707175178,0.34340176889702,0.699386788709113
"7","0bJ4PT","ieu-b-18","multiple sclerosis || id:ieu-b-18","RBM47 (Colon Sigmoid)","Wald ratio",1,0.0355976531488211,0.123913871336272,0.773899935940019,0.917602825398901
"8","0DN0b0","ieu-b-18","multiple sclerosis || id:ieu-b-18","SYDE2 (Colon Sigmoid)","Wald ratio",1,-0.16554708954822,0.112825776748694,0.142299699988535,0.481932133110342
"9","0EDwwp","ieu-b-18","multiple sclerosis || id:ieu-b-18","SLC44A2 (Colon Sigmoid)","Wald ratio",1,0.0512769658387878,0.14299506859141,0.719899923198721,0.88838884983286
"10","0HDxmf","ieu-b-18","multiple sclerosis || id:ieu-b-18","YBX3 (Colon Sigmoid)","Wald ratio",1,0.146952970401246,0.143884468022399,0.307099938962585,0.667561214837109
"11","0l2xdP","ieu-b-18","multiple sclerosis || id:ieu-b-18","SLC5A4 (Colon Sigmoid)","Wald ratio",1,-0.00766774342504846,0.0382945686449069,0.841300257456174,0.943145669219851
"12","0lw1QX","ieu-b-18","multiple sclerosis || id:ieu-b-18","GIMAP8 (Colon Sigmoid)","Wald ratio",1,-0.149482533823911,0.0679043296926928,0.0277098622904602,0.204652356434363
