"","id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","FDR"
"1","02i9GD","ieu-b-18","multiple sclerosis || id:ieu-b-18","TMEM52 (Stomach)","Wald ratio",1,0.113037462877044,0.146224789189318,0.439499307903167,0.796096900695639
"2","04oYOn","ieu-b-18","multiple sclerosis || id:ieu-b-18","TOX2 (Stomach)","Wald ratio",1,0.0169535880466819,0.0614989869764396,0.782799512368667,0.925199017159309
"3","05iHjz","ieu-b-18","multiple sclerosis || id:ieu-b-18","NDUFA11 (Stomach)","Wald ratio",1,0.136684019496007,0.0917988177952919,0.136500048723421,0.512121465980744
"4","0DbXwv","ieu-b-18","multiple sclerosis || id:ieu-b-18","XRCC3 (Stomach)","Wald ratio",1,-0.00368125686708478,0.0881788885442569,0.966699908608592,0.986523934475797
"5","0DiUaK","ieu-b-18","multiple sclerosis || id:ieu-b-18","MAP3K1 (Stomach)","Wald ratio",1,-0.0739661811485016,0.112082147441263,0.509299841572253,0.833160147856605
"6","0eVkiL","ieu-b-18","multiple sclerosis || id:ieu-b-18","PACC1 (Stomach)","Wald ratio",1,0.0391857905523366,0.0509352781924449,0.441700310428287,0.796096900695639
"7","0iucqF","ieu-b-18","multiple sclerosis || id:ieu-b-18","LMF2 (Stomach)","Wald ratio",1,0.121884792652287,0.123683451561555,0.324399367080503,0.719993251745467
"8","0jy5E3","ieu-b-18","multiple sclerosis || id:ieu-b-18","TXN2 (Stomach)","Wald ratio",1,-0.119830387170734,0.140671611068535,0.394300210791379,0.783882299402348
"9","0KkzxY","ieu-b-18","multiple sclerosis || id:ieu-b-18","HCLS1 (Stomach)","Wald ratio",1,-0.129486296301966,0.136608851399966,0.343199871842438,0.735067128826437
"10","0Kyr0j","ieu-b-18","multiple sclerosis || id:ieu-b-18","NOTCH2 (Stomach)","Wald ratio",1,-0.0356027263534366,0.115651580085538,0.758200503993853,0.917383553886538
"11","0LCQoe","ieu-b-18","multiple sclerosis || id:ieu-b-18","NPAS4 (Stomach)","Wald ratio",1,0.184380460267917,0.12202924090142,0.130800399600701,0.507766504960256
"12","0Lm8CI","ieu-b-18","multiple sclerosis || id:ieu-b-18","RMI2 (Stomach)","Wald ratio",1,-0.316143647058055,0.0558505950476887,1.50911269951889e-08,1.95010896615608e-06
"13","0lWo0x","ieu-b-18","multiple sclerosis || id:ieu-b-18","FCGRT (Stomach)","Wald ratio",1,0.0637661879204283,0.110360269074126,0.563399005697098,0.853520964348801
"14","0nS6qf","ieu-b-18","multiple sclerosis || id:ieu-b-18","KLRC2 (Stomach)","Wald ratio",1,0.0196918080804865,0.029712965884127,0.507500599339087,0.833160147856605
"15","0qPa5T","ieu-b-18","multiple sclerosis || id:ieu-b-18","OPA3 (Stomach)","Inverse variance weighted",2,0.0934836594532762,0.0934898673627115,0.317342643585393,0.714445846027019
"16","0Rbs6E","ieu-b-18","multiple sclerosis || id:ieu-b-18","KLRD1 (Stomach)","Wald ratio",1,0.0085722422631479,0.0725936928787083,0.906000133490206,0.97433308864912
"17","0RMZA4","ieu-b-18","multiple sclerosis || id:ieu-b-18","KCNN4 (Stomach)","Wald ratio",1,-0.146214248113704,0.154002164122361,0.342402046066181,0.734711401429831
"18","0vv9jV","ieu-b-18","multiple sclerosis || id:ieu-b-18","TCFL5 (Stomach)","Wald ratio",1,-0.221865204798244,0.0993109468199072,0.0254800589080551,0.192424081234208
"19","0WmSMH","ieu-b-18","multiple sclerosis || id:ieu-b-18","AP2S1 (Stomach)","Wald ratio",1,0.71301327028676,0.154701799877974,4.04702481384128e-06,0.000213940448113519
"20","0WnZ6v","ieu-b-18","multiple sclerosis || id:ieu-b-18","P2RY11 (Stomach)","Wald ratio",1,-0.0488075370327436,0.0523102952081134,0.350799916258823,0.740436120887498
"21","0XqO5A","ieu-b-18","multiple sclerosis || id:ieu-b-18","LOC100505555 (Stomach)","Wald ratio",1,0.0556488198479919,0.0904735378395601,0.538499289549923,0.844342244668066
"22","0y3IPj","ieu-b-18","multiple sclerosis || id:ieu-b-18","PPP3R1 (Stomach)","Wald ratio",1,-0.260509870990552,0.0839091753755581,0.00190494713346457,0.0284032502079397
"23","12AxST","ieu-b-18","multiple sclerosis || id:ieu-b-18","NXPE3 (Stomach)","Wald ratio",1,0.194005014816503,0.100526124483271,0.0536196643979344,0.301254442970037
"24","12uE2V","ieu-b-18","multiple sclerosis || id:ieu-b-18","TBKBP1 (Stomach)","Wald ratio",1,0.423476170973099,0.0756200857835967,2.14291465725446e-08,2.49220974638694e-06
