"","gene","outcome","method","nsnp","b","se","pval","fdr"
"16","TEAD2","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.199588874539076,0.0389395112263518,2.96570839719925e-07,1.76163078793635e-05
"18","UBE2V1","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.406885546119191,0.142462627324943,0.00428898652134298,0.0499540783074065
"27","FBF1","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.136608076493628,0.0432312620739769,0.00157803107264561,0.0246671172934603
"39","NTN5","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.132525986114107,0.0368183888209774,0.000318889724500144,0.00780870565859083
"48","MCM9","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.146078974910956,0.0491934022603668,0.00298301254313117,0.0412071965260446
"51","NPEPPS","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.183329738719191,0.0546655059960762,0.000797491425787152,0.013932644321105
"115","EFCAB13","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.298246378455166,0.0488402700266804,1.0179695071771e-09,1.20934777452639e-07
"127","SLC12A5","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.539866283567245,0.11213739087192,1.4769537177318e-06,7.31092090277239e-05
"134","TRIM65","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.138670081042008,0.0412915186369254,0.000784181309889752,0.013932644321105
"142","PPA2","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.181643136349151,0.0477553860502104,0.000142599342168588,0.00423520046240706
"147","WBP2","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.230079193710635,0.0778565158611675,0.00312497408619134,0.0421871501635831
"177","UBXN4","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.363546486124101,0.11618592794299,0.0017539862151423,0.0267145592767828
"183","CRTAP","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.215451195992417,0.0639188607140016,0.000749779182525227,0.013932644321105
"193","RBM4B","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.220392047565961,0.0527026113982636,2.89203871893752e-05,0.00107366937440555
"229","SF3B2","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.149422395186813,0.0507070486798403,0.00321104056606146,0.0423857354720113
"230","EEF1AKMT3","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.157016696640689,0.0245553853327116,1.6119012977345e-10,3.19156456951431e-08
"231","FAM167B","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.173665012204306,0.0564268452397156,0.00208603432470882,0.0305531953886952
"232","VDAC1","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.684890179049057,0.159621920135939,1.78108752491657e-05,0.000705310659866961
"277","ZNF223","multiple sclerosis || id:ieu-b-18","Inverse variance weighted",2,-0.10321573294507,0.0335720657496547,0.0021088905908022,0.0305531953886952
"279","HMGCL","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.287594033867893,0.0774426376584053,0.000204299810134207,0.00577876605808185
"328","SP110","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.167110004090621,0.0568963391741428,0.00331301642793535,0.0426918979156291
"335","C2orf74","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.0848776168601185,0.0293132166777712,0.00378505740624981,0.0468400854023414
"339","IFITM3","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.549327082126844,0.0975292245059316,1.77682140840136e-08,1.31928989573801e-06
"342","NR1H3","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.240089544875693,0.0515571400709016,3.21214941561299e-06,0.000146770519451855
"344","QPRT","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.140254012920014,0.0435937003585531,0.00129403204333558,0.0213700845709129
"359","CD40","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.229951503909843,0.0506883713696684,5.71756673344166e-06,0.000242588188547453
"371","UBXN6","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.214120994033339,0.059546349264932,0.000323307920084613,0.00780870565859083
"384","IL15RA","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.834210023132613,0.0882398593297166,3.26463751509366e-21,1.93919468396564e-18
"388","ESRRA","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.199747874350496,0.0511950873878129,9.55194792952002e-05,0.00315214281674161
"398","BOLA2","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.184336532155926,0.0518234289976522,0.000375097762572446,0.0082521507765938
"408","TAPBPL","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.104997889966572,0.0311743868207837,0.000756930897151903,0.013932644321105
"413","C6orf58","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.0899238018739885,0.0302255468883498,0.00292900085826434,0.0412071965260446
"419","BATF3","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.248571724365279,0.0514228268006353,1.33897967589243e-06,7.23049024981911e-05
"427","CFAP74","multiple sclerosis || id:ieu-b-18","Inverse variance weighted",2,-0.137162087784997,0.0426359719847804,0.00129515664066139,0.0213700845709129
"429","PLEC","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.17401663361648,0.0498487583982005,0.000481410751874984,0.010212785236205
"441","CHAF1A","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.0919246470488178,0.0272865283211431,0.000754782187643745,0.013932644321105
"445","TYMP","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.434529445738825,0.0688985891033675,2.84868242020636e-10,4.23029339400644e-08
"450","TEN1","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.113719336863188,0.0317244068984208,0.000337594062829752,0.00780870565859083
"460","TBX6","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.208877422412772,0.0377880233973565,3.24624334240474e-08,2.14252060598713e-06
"462","RAB5C","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.545200406622132,0.083739652918966,7.48213369194155e-11,2.22219370650664e-08
"465","JPT1","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.263865499358724,0.091335208036262,0.00386494865777192,0.046852642912582
"468","MGAT3","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.240737875684561,0.0755777564852012,0.00144603700806337,0.023214756291612
