"","gene","outcome","method","nsnp","b","se","pval","fdr"
"6","RBM17","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.435272668706716,0.107174102109841,4.87875599183464e-05,0.00174362352970985
"51","BOLA2","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.196002320735183,0.0551030890795038,0.000375097762572447,0.00703308304823338
"52","PRM1","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.219846225544533,0.0598786440665378,0.000241102967149233,0.00527412740638947
"59","TRMT112","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.24187191711896,0.0749422604219938,0.00124901670704852,0.0170320460052072
"63","NPEPPS","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.667192758941984,0.108021322583303,6.55418202976607e-10,8.60236391406797e-08
"86","MAPT","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.252340499306519,0.0836726438148075,0.00256296799318617,0.0312920510795986
"87","CD226","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.21852069738137,0.0622461170848268,0.000447110691036232,0.0079570546709838
"129","TNFRSF1A","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.689700423485126,0.146542409508374,2.52018016786863e-06,0.000132309458813103
"154","CDC42BPG","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.229109355289443,0.0581915513291951,8.24521827812189e-05,0.00240485533111889
"157","NTN5","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.185632017297506,0.0525873783769093,0.000415602331881073,0.00752383531853666
"177","TRIM47","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.359492333952357,0.121648638231628,0.00312497408619134,0.0364580310055656
"179","TEAD2","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.343241800361386,0.06696599682418,2.96570839719926e-07,2.07494317196971e-05
"201","DLEU1-AS1","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.38455556632681,0.106492537627973,0.000304897045971154,0.00627729212293552
"209","PVR","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.248424250056052,0.058775887539889,2.3721150174631e-05,0.000957969526283176
"216","CRTAP","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.249752422506814,0.0740951575305218,0.000749779182525226,0.0117502707709177
"229","PLCD3","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.454553924994177,0.130958875288354,0.000518587866481949,0.00907528766343412
"232","SFI1","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.240174921752589,0.0635001206753221,0.000155401513468224,0.00370844520776444
"236","CHAF1A","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.100565865010872,0.0305959907896964,0.00101297939867558,0.0145702516247858
"243","MALT1","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.327165791647283,0.0785324358450978,3.09996516496639e-05,0.0011624869368624
"252","TSFM","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.255013544018059,0.0399431151241535,1.72050519899094e-10,2.58075779848641e-08
"265","NUP93","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.47989722755563,0.165617608592815,0.00376003456467499,0.0424520031495563
"273","TEN1","multiple sclerosis || id:ieu-b-18","Inverse variance weighted",2,-0.101830883963509,0.0284980286759101,0.000352563530074574,0.00673075830142368
"275","TEC","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.217927132259649,0.0647882495555768,0.000769098337338326,0.0118757831500771
"283","DIDO1","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.197893621001434,0.0667001309471846,0.00300804076992363,0.0354881214429192
"295","KPNB1","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.602048952702517,0.0940137146753625,1.51515141680317e-10,2.58075779848641e-08
"300","CDK2AP1","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.475815773705498,0.117644305187996,5.24284763876252e-05,0.00177580323248408
"304","TAPBPL","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.0819584935416754,0.0241204884358192,0.000679105274265866,0.0113184212377644
"307","QPRT","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.1938100755984,0.0607488639298603,0.00142101091045571,0.0191289930253653
"315","P2RX6","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.252353883255584,0.0766785850628975,0.000998103488162626,0.0145556758690383
"316","IFITM3","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.651686502630854,0.115702431739737,1.77682140840137e-08,1.5547187323512e-06
"325","NADK","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.264956049117627,0.0789336375226464,0.00078880426813927,0.012003543210815
"327","FOXP1","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.367235424639033,0.108414959642409,0.00070580761218002,0.0115146786987366
"335","PTOV1","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.315194528165726,0.10012575879781,0.00164399335287648,0.0207975062713289
"378","PSMC3","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.311461461707472,0.0878607204824844,0.000392694340335348,0.00723384311144062
"379","HIC2","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.415293437886917,0.142664465538589,0.00360296820790227,0.0411208328075803
"381","TSTD1","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.368756911276851,0.103002729219114,0.000343503062953612,0.006679226224098
"387","EEF1AKMT3","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.14876093644538,0.0228439940239799,7.41384044412867e-11,1.55690649326702e-08
"429","PPA2","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.173232250005576,0.0455440989493877,0.000142599342168588,0.0035649835542147
"431","RELL2","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.32407672025685,0.105487363757571,0.00212497821974441,0.0262497309497839
"466","RNASEH2C","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.261903101463241,0.0789966525498948,0.000915220251114136,0.0135349473756316
"469","CD6","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.163061753907103,0.0471449212501623,0.000542720101084992,0.00919122751837487
"492","RAVER2","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.310528664504805,0.0777369300143227,6.48010191905146e-05,0.00212628344218876
"493","SAE1","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.455989696523263,0.114859516761451,7.18794210335756e-05,0.00224493354394383
"498","TMEM160","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.519843943961695,0.163424957143702,0.0014680125169542,0.0195115587696444
"500","GPT","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.332386062240297,0.0915408672973212,0.000282311164813682,0.00604952496029319
"515","TRMT61A","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.392904964620058,0.080791501195204,1.15504940921805e-06,6.38316778778401e-05
"532","MAPK3","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.551396963294445,0.108347659479534,3.59681275048027e-07,2.22156081647311e-05
"533","IMPG2","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.362530359956963,0.107111643763434,0.000712813443255123,0.0115146786987366
"537","SLC12A5","multiple sclerosis || id:ieu-b-18","Wald ratio",1,1.17348137757658,0.166639948263456,1.89476466098991e-12,6.63167631346467e-10
"538","KMT5A","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.382263750341547,0.0874377936743278,1.23205697287908e-05,0.000539024925634599
"540","PLEC","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.333378050931642,0.105685014807869,0.00160801159109789,0.020590392325034
"542","DLEU7","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.38455556632681,0.106492537627973,0.000304897045971154,0.00627729212293552
"549","PDE4C","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.355812371000121,0.0521299274071271,8.76248534395787e-12,2.30015240278894e-09
"578","EFEMP2","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.445187318268089,0.153937563693821,0.00382798864544286,0.042759447635266
"601","PPM1F","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.415766849490225,0.0696238096840405,2.34910934420783e-09,2.74062756824247e-07
"604","MAMSTR","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.152628981426863,0.0402740730469769,0.000150794256961939,0.00368218534441944
"632","PRM2","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.238981384862864,0.0650904114786954,0.000241102967149233,0.00527412740638947
"634","BORCS8","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.311027416735341,0.079589014028848,9.30945202374414e-05,0.00257234858550825
"648","CDK3","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.127637399631635,0.035607143983277,0.000337594062829752,0.006679226224098
"671","MGAT3","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.20710919102309,0.0598028500205149,0.000533792768506879,0.00918823617921677
"676","EPS15L1","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.36207220294174,0.0820800500721656,1.02795341026166e-05,0.000469283078597713
"687","SF3B2","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.147292301829268,0.0493319904181185,0.00282896715294962,0.0341427070183575
"690","LRRC43","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.270477022125311,0.0907432285799911,0.00287604028735625,0.0343163897923189
"727","LRP4","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.520941479099678,0.117247588424437,8.86764320844636e-06,0.000443382160422318
"730","VKORC1","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.256259408570829,0.0833901148836017,0.00211904985813499,0.0262497309497839
"738","MXD3","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.140135933378566,0.0364472348937385,0.000120602150624016,0.00316580645388041
"747","ARHGAP31","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.495110225050799,0.128749760380324,0.000120295349806762,0.00316580645388041
"751","PCP4L1","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.549797588549545,0.145837668639778,0.000163294299079764,0.00381020031186117
"759","EFCAB13","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.191948140093774,0.0375372546846828,3.16181816681098e-07,2.07494317196971e-05
"763","AFF1","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.39570870654158,0.0893390499639173,9.45431061654289e-06,0.000451228461244092
"767","MAP3K11","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.441010626762091,0.111892756451963,8.10179233553905e-05,0.00240485533111889
"768","RMI2","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.155138561193255,0.0274071012911875,1.50911269951889e-08,1.44051666772257e-06
"776","CHST12","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.286652563352388,0.0747742719539092,0.000126295756169251,0.00323440351165154
"793","PIK3CG","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.236868612587401,0.0733186521391745,0.00123499007298804,0.0170320460052072
"795","CCDC88B","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.192090771386911,0.048418578971956,7.26930861848478e-05,0.00224493354394383
"803","TBX6","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.234700522409377,0.0424596815191026,3.24624334240475e-08,2.62196577655768e-06
"816","CD40","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.484708139731748,0.0688308658928874,1.89476466098991e-12,6.63167631346467e-10
"818","MMEL1","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.307754541455197,0.0377868386321448,3.8088282842418e-16,3.99926969845389e-13
"837","MPHOSPH9","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.595205595259205,0.110672148657064,7.52770904089655e-08,5.64578178067241e-06
