"","gene","outcome","method","nsnp","b","se","pval","fdr"
"3","GAL3ST3","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.399391035031181,0.0885484242246683,6.46978431390409e-06,0.00045571543261062
"14","PLTP","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.86150256877722,0.21335834005651,5.39502275778052e-05,0.00233853486462256
"27","EFEMP2","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.117088797997837,0.0351048554170854,0.00085176230636747,0.0152370812583514
"72","TTC34","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.526894351070175,0.0663636729570796,2.02998639161462e-15,2.28779466334967e-12
"100","KASH5","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.0847811615766343,0.0173210461586095,9.84605167766502e-07,9.2470835339404e-05
"101","COPA","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.243407443661516,0.0605191561643047,5.77084973342999e-05,0.00240879542576874
"102","YARS1","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.517301411929095,0.169836060246641,0.00231995170981424,0.0326823197120081
"103","HMGCL","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.267077637772616,0.0708614771115542,0.000163896118924017,0.00513085905631574
"118","PPP1R14B","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.249337425644883,0.0694884206184567,0.000332985834958575,0.00809507465551341
"124","PLA2G3","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.141087585911734,0.042100400292037,0.000804571678077483,0.0150150015866993
"132","BORCS8-MEF2B","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.102569264954165,0.0282136766318339,0.000277501375446936,0.00781860125321743
"143","NADK","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.189781299325064,0.0555658038714425,0.000636806130571901,0.0133317741051611
"147","FBF1","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.168336156432289,0.0502731283883623,0.000812701949235723,0.0150150015866993
"167","QPRT","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.163368587380794,0.0507781638329305,0.00129403204333558,0.0212659632127221
"170","XPNPEP3","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.12504078644635,0.0426806630412048,0.00339308631883901,0.0455239081110901
"173","CHAF1A","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.0710076470279077,0.0210776133914963,0.000754782187643745,0.0150150015866993
"191","ACP2","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.385557314418082,0.0819619621478342,2.54987516847961e-06,0.000205264951062609
"223","PIP4K2C","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.556568721924185,0.0847512069304415,5.13083705303601e-11,2.89122667938579e-08
"238","MERTK","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.20101212857991,0.0599678473119993,0.000802304808196545,0.0150150015866993
"242","CDK3","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.0890376998888554,0.0248389438286277,0.000337594062829752,0.00809507465551341
"252","BOC","multiple sclerosis || id:ieu-b-18","Inverse variance weighted",2,-0.0708123068579736,0.0215635523714457,0.00102385332910947,0.0177520415677903
"257","PNO1","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.16805460893065,0.0530478676385239,0.0015350182912521,0.0230662081898815
"269","FUT11","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.167665549997705,0.0481170552062778,0.000492993476959091,0.0112433349154825
"276","SYNGR1","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.238724021598235,0.0729545630134517,0.00106703190053159,0.0182203780590773
"321","CD300C","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.160736518891546,0.0459099157965129,0.000463292236873752,0.0108777156449316
"345","FUT1","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.257474388186388,0.0766380254987564,0.000780506868134773,0.0150150015866993
"349","BCL2L11","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.0945246638131449,0.0293962107276481,0.00130199774771768,0.0212659632127221
"351","TAPBPL","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.0935746875126348,0.0276414862549101,0.000711008377112063,0.0145692080182781
"356","SLC2A4RG","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.222673998555029,0.0721022134323892,0.00201298256612649,0.0287168525572728
"358","CRTAP","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.154109904841609,0.0451328187961069,0.000638789531214461,0.0133317741051611
"360","EEF1AKMT3","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.129058152490687,0.0204094252312851,2.55772997752245e-10,9.60853894889268e-08
"385","TEN1","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.0662319175352987,0.0184767899594799,0.000337594062829752,0.00809507465551341
