"","id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","FDR"
"1","03qaOH","ieu-b-18","multiple sclerosis || id:ieu-b-18","GRWD1 (Brain Anterior cingulate cortex BA24)","Inverse variance weighted",2,-0.0735674144985139,0.0541201613311937,0.174040545852952,0.517977815038548
"2","06HOBi","ieu-b-18","multiple sclerosis || id:ieu-b-18","VPS29 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,0.0949643239564882,0.0852497323045823,0.265298701629328,0.63367524274521
"3","0aqBpB","ieu-b-18","multiple sclerosis || id:ieu-b-18","RAB40C (Brain Anterior cingulate cortex BA24)","Inverse variance weighted",2,-0.041789533438829,0.196499325203813,0.831584280867734,0.95887100808976
"4","0CRkjH","ieu-b-18","multiple sclerosis || id:ieu-b-18","ZNF467 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,0.045686514075852,0.0408244892352626,0.263099275256823,0.630429573299097
"5","0Dtycw","ieu-b-18","multiple sclerosis || id:ieu-b-18","POLR1B (Brain Anterior cingulate cortex BA24)","Wald ratio",1,-0.0117409704220062,0.0267312149053303,0.660499797979667,0.875219729724402
"6","0fN8Rb","ieu-b-18","multiple sclerosis || id:ieu-b-18","LRPPRC (Brain Anterior cingulate cortex BA24)","Wald ratio",1,-0.0778155432760696,0.0561111719006456,0.165499658231644,0.503830237498651
"7","0Gvyxv","ieu-b-18","multiple sclerosis || id:ieu-b-18","CAPS (Brain Anterior cingulate cortex BA24)","Wald ratio",1,0.00534642665214622,0.0491620489495806,0.913399914255091,0.975000045990216
"8","0JkdVo","ieu-b-18","multiple sclerosis || id:ieu-b-18","DDX59 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,0.0627125801290772,0.0358952145663507,0.0806197481565132,0.359909589984434
"9","0MDxJv","ieu-b-18","multiple sclerosis || id:ieu-b-18","LCA5L (Brain Anterior cingulate cortex BA24)","Wald ratio",1,-0.0217690883641125,0.018350228021854,0.235499267334759,0.602805465162181
"10","0RRcRR","ieu-b-18","multiple sclerosis || id:ieu-b-18","TRIM71 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,-0.0253175058016864,0.0454022117082272,0.577099014740209,0.857077744663677
"11","0tkWWP","ieu-b-18","multiple sclerosis || id:ieu-b-18","PLEKHF2 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,0.0830313561468002,0.0724540048723837,0.251800482743467,0.615147759145278
"12","115xHy","ieu-b-18","multiple sclerosis || id:ieu-b-18","SLC1A4 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,0.266597700043305,0.112588654188519,0.0178897888148,0.152469791035227
"13","15GMfQ","ieu-b-18","multiple sclerosis || id:ieu-b-18","GNPDA1 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,-0.0313176539878164,0.0720716602642428,0.663900033940395,0.875219729724402
"14","1GgRIW","ieu-b-18","multiple sclerosis || id:ieu-b-18","DDX4 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,0.0403313045266992,0.0355137962884535,0.256102345897543,0.61960244975212
"15","1hJRzg","ieu-b-18","multiple sclerosis || id:ieu-b-18","ZNF774 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,0.0298421276528699,0.0484934902603371,0.538301024040536,0.838169176271597
"16","1jcZax","ieu-b-18","multiple sclerosis || id:ieu-b-18","XPNPEP3 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,-0.0562801334125883,0.0715462155736081,0.431500670465007,0.770891918634991
"17","1jN6kI","ieu-b-18","multiple sclerosis || id:ieu-b-18","ZGPAT (Brain Anterior cingulate cortex BA24)","Wald ratio",1,-0.224422987521614,0.10045585741663,0.0254800589080551,0.195000450826952
"18","1NbbTU","ieu-b-18","multiple sclerosis || id:ieu-b-18","OCIAD2 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,0.0110424757205497,0.0867412998201367,0.898700147739371,0.975000045990216
"19","1yjUTY","ieu-b-18","multiple sclerosis || id:ieu-b-18","PLEKHA4 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,0.242463465705818,0.0673612354602828,0.000318889724500143,0.00737737682073323
"20","21BefL","ieu-b-18","multiple sclerosis || id:ieu-b-18","HSD17B13 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,0.0187472182058213,0.0228959577544477,0.412900331653667,0.76494680509659
"21","25h9kT","ieu-b-18","multiple sclerosis || id:ieu-b-18","ZNF282 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,0.0606083691922306,0.0642609731453714,0.345599151255976,0.704346096309734
"22","26elkS","ieu-b-18","multiple sclerosis || id:ieu-b-18","SLC25A45 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,-0.0360434985256579,0.0666403836911924,0.588600146361736,0.860756251859833
"23","26fbbi","ieu-b-18","multiple sclerosis || id:ieu-b-18","AP3S2 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,0.0560627461492463,0.0336720140764721,0.0959196129768415,0.393113167937875
"24","2fn9nn","ieu-b-18","multiple sclerosis || id:ieu-b-18","TXN2 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,-0.0307730893607707,0.0569722143324326,0.589099064701517,0.860756251859833
"25","2gFXX3","ieu-b-18","multiple sclerosis || id:ieu-b-18","CPSF1 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,0.0155671008900944,0.0254591180552903,0.540898508420604,0.838169176271597
"26","2JivKL","ieu-b-18","multiple sclerosis || id:ieu-b-18","GPD1L (Brain Anterior cingulate cortex BA24)","Wald ratio",1,-0.151357638549506,0.115307073274036,0.189301472025353,0.528049703607266
"27","2kWdls","ieu-b-18","multiple sclerosis || id:ieu-b-18","GNB3 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,0.0668001466204674,0.0427903534798155,0.118499464530132,0.426180497015815
"28","2ohwLt","ieu-b-18","multiple sclerosis || id:ieu-b-18","NPRL3 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,-0.0154479166842691,0.0304645531310148,0.612099814054087,0.868134132595802
"29","2omRiF","ieu-b-18","multiple sclerosis || id:ieu-b-18","SRD5A1 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,0.0782554652803295,0.0763841823287379,0.305599971292785,0.659957437831229
"30","2RCTWo","ieu-b-18","multiple sclerosis || id:ieu-b-18","GATD1 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,-0.0372980122717419,0.0691262813682625,0.589498154342282,0.860756251859833
"31","2RORGq","ieu-b-18","multiple sclerosis || id:ieu-b-18","LIG1 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,-0.0398568209874076,0.0496589534845213,0.422199623890075,0.768886288403092
"32","2s7zyd","ieu-b-18","multiple sclerosis || id:ieu-b-18","WDCP (Brain Anterior cingulate cortex BA24)","Wald ratio",1,-0.00918246664449126,0.0211384115016447,0.664000034950913,0.875219729724402
"33","2Vshg8","ieu-b-18","multiple sclerosis || id:ieu-b-18","MROH6 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,-0.0410747078620524,0.0719165298734006,0.567901909180294,0.857077744663677
"34","32CPb4","ieu-b-18","multiple sclerosis || id:ieu-b-18","TBX21 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,0.0813671691995289,0.0367104172239555,0.0266600184553947,0.196468522693849
"35","36aoEY","ieu-b-18","multiple sclerosis || id:ieu-b-18","APOBEC3C (Brain Anterior cingulate cortex BA24)","Inverse variance weighted",2,0.00078829197358077,0.0511518799926304,0.987704438228774,0.991671122719653
"36","3bAFIy","ieu-b-18","multiple sclerosis || id:ieu-b-18","M6PR (Brain Anterior cingulate cortex BA24)","Wald ratio",1,-0.163865461645297,0.0888896157484753,0.0652602182212194,0.324126931116
"37","3FD5UQ","ieu-b-18","multiple sclerosis || id:ieu-b-18","LOC101929777 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,-0.0407680836641813,0.0174804880410574,0.0196899030985894,0.16227942114222
"38","3fkhIp","ieu-b-18","multiple sclerosis || id:ieu-b-18","B4GALNT4 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,0.0530145253949197,0.079487147651465,0.50479947279478,0.823369951525655
"39","3H5ShB","ieu-b-18","multiple sclerosis || id:ieu-b-18","STAP2 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,0.0339085275099784,0.0297515387416434,0.254401518462267,0.617479413743366
"40","3iCjMf","ieu-b-18","multiple sclerosis || id:ieu-b-18","SUSD5 (Brain Anterior cingulate cortex BA24)","Inverse variance weighted",2,-0.0172693867142163,0.0380700174568664,0.650101119349603,0.875219729724402
"41","3kUdzC","ieu-b-18","multiple sclerosis || id:ieu-b-18","CMC1 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,-0.311928062700879,0.0903647585183287,0.000556700729378176,0.0109875143956219
"42","3TvGPr","ieu-b-18","multiple sclerosis || id:ieu-b-18","CD151 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,0.0131953123604337,0.0693981456669704,0.849200002811202,0.965468881152853
"43","3wCoet","ieu-b-18","multiple sclerosis || id:ieu-b-18","KRT31 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,0.0324336396587706,0.0435184710577381,0.45609978102915,0.788619766681676
"44","4jEhtF","ieu-b-18","multiple sclerosis || id:ieu-b-18","BBC3 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,-0.281398786907443,0.057114000303964,8.35159117661695e-07,5.21974448538559e-05
"45","4JWre6","ieu-b-18","multiple sclerosis || id:ieu-b-18","FBLN7 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,-0.151752317922803,0.0905887576779541,0.0938992606837312,0.390992402626617
"46","4N6SWc","ieu-b-18","multiple sclerosis || id:ieu-b-18","HSD17B1 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,0.0353673072415748,0.0741974450456442,0.63360086150745,0.870330853719025
"47","4nbq08","ieu-b-18","multiple sclerosis || id:ieu-b-18","ZNF696 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,0.0388190177908079,0.0413210308792191,0.347500058412433,0.705404351662484
"48","4QOurJ","ieu-b-18","multiple sclerosis || id:ieu-b-18","SULT2B1 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,-0.0163332913465172,0.0245757555204589,0.506300011353343,0.823698500032554
"49","4rZ8uD","ieu-b-18","multiple sclerosis || id:ieu-b-18","PGPEP1 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,0.0664482110302853,0.0661863496741003,0.315399617244018,0.672016229923334
"50","4S8oLv","ieu-b-18","multiple sclerosis || id:ieu-b-18","TICAM1 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,-0.00897997184521443,0.0530176729561628,0.865500151242869,0.973201069613421
"51","4TGrmY","ieu-b-18","multiple sclerosis || id:ieu-b-18","RPL10A (Brain Anterior cingulate cortex BA24)","Wald ratio",1,0.2182002320318,0.203156203046844,0.282799583845731,0.650375663528013
"52","4ujvAA","ieu-b-18","multiple sclerosis || id:ieu-b-18","CD200R1 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,0.109583587213727,0.0440809774456329,0.0129202153273791,0.132741938294991
"53","4wywPE","ieu-b-18","multiple sclerosis || id:ieu-b-18","FDXR (Brain Anterior cingulate cortex BA24)","Wald ratio",1,-0.0613302119872653,0.0533932173050218,0.25069961290236,0.615147759145278
"54","4y3MnZ","ieu-b-18","multiple sclerosis || id:ieu-b-18","ADAM15 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,-0.0410486193774401,0.0517549973170837,0.427700078170016,0.770891918634991
"55","4yEqsP","ieu-b-18","multiple sclerosis || id:ieu-b-18","UBE2B (Brain Anterior cingulate cortex BA24)","Wald ratio",1,-0.0112521324704162,0.0880384718587757,0.898299916978948,0.975000045990216
"56","4ymtPi","ieu-b-18","multiple sclerosis || id:ieu-b-18","PNO1 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,0.144707260576693,0.0460094784206182,0.00165994915332418,0.0264885503190029
"57","55ogGE","ieu-b-18","multiple sclerosis || id:ieu-b-18","CDHR3 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,-0.0276628432427819,0.0393358243279767,0.481901155855504,0.812192959307029
"58","59V0J2","ieu-b-18","multiple sclerosis || id:ieu-b-18","DCAKD (Brain Anterior cingulate cortex BA24)","Wald ratio",1,-0.0111356833821958,0.0466920881812273,0.811499620969626,0.945418861843132
"59","5aRlVu","ieu-b-18","multiple sclerosis || id:ieu-b-18","TSTD1 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,0.21648369389732,0.0839278365527677,0.00989713162980999,0.114197672651654
"60","5ELEuR","ieu-b-18","multiple sclerosis || id:ieu-b-18","IL12RB1 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,0.0219065196997228,0.0466157670386696,0.638399323820432,0.873139266530898
"61","5KxGsJ","ieu-b-18","multiple sclerosis || id:ieu-b-18","UBE2U (Brain Anterior cingulate cortex BA24)","Wald ratio",1,0.00536393025407572,0.0188083465699442,0.775499481564217,0.932670768043025
"62","5Ou2wR","ieu-b-18","multiple sclerosis || id:ieu-b-18","CTSA (Brain Anterior cingulate cortex BA24)","Wald ratio",1,0.241304285714286,0.0690128571428571,0.000471383226376853,0.0095550653995308
"63","5QAO3X","ieu-b-18","multiple sclerosis || id:ieu-b-18","IL10RB (Brain Anterior cingulate cortex BA24)","Wald ratio",1,-0.0114301958639459,0.0360358836431709,0.751099986190951,0.925526533224494
"64","5qQSRB","ieu-b-18","multiple sclerosis || id:ieu-b-18","C8orf37 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,-0.00977594464336974,0.0618448684826784,0.87440003092274,0.974343176675954
"65","5R8jgZ","ieu-b-18","multiple sclerosis || id:ieu-b-18","SLC25A41 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,-0.0239679360678863,0.0220479906822761,0.277001328431836,0.645189429577258
"66","5rNjMG","ieu-b-18","multiple sclerosis || id:ieu-b-18","DNER (Brain Anterior cingulate cortex BA24)","Wald ratio",1,0.173388480429481,0.083274450204162,0.0373303234606425,0.241157362596557
"67","5Tc6Dl","ieu-b-18","multiple sclerosis || id:ieu-b-18","INTS1 (Brain Anterior cingulate cortex BA24)","Inverse variance weighted",2,0.0237873023760413,0.0328864540917474,0.469485691316877,0.804422307873752
"68","5WlFzh","ieu-b-18","multiple sclerosis || id:ieu-b-18","PISD (Brain Anterior cingulate cortex BA24)","Wald ratio",1,-0.0212596296155744,0.063379947630071,0.737299624689462,0.917537607970178
"69","6607o2","ieu-b-18","multiple sclerosis || id:ieu-b-18","WDR24 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,-0.0735801769911505,0.0877800884955752,0.401899792235674,0.763100871333558
"70","69SSzf","ieu-b-18","multiple sclerosis || id:ieu-b-18","RPL9 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,-0.0293370491106913,0.0284937585881762,0.303199871043605,0.659957437831229
"71","6cYA5K","ieu-b-18","multiple sclerosis || id:ieu-b-18","PERP (Brain Anterior cingulate cortex BA24)","Wald ratio",1,0.0551873137201774,0.059977111646678,0.357499828455347,0.71200434730681
"72","6Ddvl3","ieu-b-18","multiple sclerosis || id:ieu-b-18","GDPD1 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,0.100143621724951,0.115034958696165,0.384000199595261,0.738461922298579
"73","6EObFm","ieu-b-18","multiple sclerosis || id:ieu-b-18","IQCB1 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,0.0245506438723285,0.0259010826343134,0.343199871842438,0.703278425906635
"74","6IhxcA","ieu-b-18","multiple sclerosis || id:ieu-b-18","EME2 (Brain Anterior cingulate cortex BA24)","Wald ratio",1,0.00216867208672087,0.0607009936766034,0.971499940444895,0.986975683360748
