"","gene","outcome","method","nsnp","b","se","pval","fdr"
"5","PLTP","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.353097802953407,0.109604793556203,0.00127497263910733,0.0220573643750384
"11","PPA2","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.159494275299071,0.0419322790984238,0.000142599342168588,0.00445622944276837
"17","CHST12","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.203722209782157,0.0531416141518186,0.000126295756169251,0.00411833987508426
"22","FUT11","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.0979301688392242,0.0273900168171747,0.000349697572323899,0.00737737682073323
"23","IQGAP1","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.141819379877138,0.0421446953345509,0.000765273355886709,0.0147167953055136
"57","EPS15L1","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.227314821602949,0.0515311912588817,1.02795341026166e-05,0.000513976705130828
"61","TSFM","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.372485080286195,0.0583428401859606,1.72050519899093e-10,4.30126299747732e-08
"74","MED10","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.241768581272954,0.0765684752565219,0.00159102430255158,0.0259406136285584
"115","PNO1","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.144707260576693,0.0460094784206182,0.00165994915332418,0.0264885503190028
"135","CD40","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.408821964123595,0.0574141439439001,1.07474385749701e-12,8.0605789312276e-10
"155","HMGCL","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.317010148437616,0.0880918064615187,0.000319893312016531,0.00737737682073323
"157","INO80E","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.208434696417431,0.0525060247831553,7.19543819075878e-05,0.00269828932153454
"170","BBC3","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.281398786907443,0.057114000303964,8.35159117661695e-07,5.21974448538559e-05
"171","TBX6","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.298109593168953,0.0539310192146264,3.24624334240475e-08,3.04335313350445e-06
"184","TEAD2","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.263724185804362,0.0514522210594404,2.96570839719925e-07,2.22428129789943e-05
"197","NR1H3","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.269439576324306,0.0674715055070165,6.51371727542032e-05,0.00257120418766591
"220","EFCAB13","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.191830130362935,0.0313831170818288,9.80661037720497e-10,1.47099155658075e-07
"239","TAOK2","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.330349970341496,0.0924802982798068,0.000354114087395195,0.00737737682073323
"261","DIDO1","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.242918121847109,0.0670176269999073,0.000289308274136491,0.00737737682073323
"272","RGS14","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.262794051275277,0.0522948933874927,5.02820313796631e-07,3.42832032134067e-05
"284","NHLH1","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.478510613057838,0.133769482593919,0.000347389578588447,0.00737737682073323
"307","TEN1","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.120782359610909,0.0336947860244533,0.000337594062829752,0.00737737682073323
"324","CYP24A1","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.150560239689028,0.0242480480714612,5.32653580375653e-10,9.9872546320435e-08
"449","FUT2","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.144797326968037,0.0469169117845481,0.00202698202790705,0.0316715941860477
"503","QPRT","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.110172952673715,0.0342439163520692,0.00129403204333558,0.0220573643750384
"506","COPA","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.387155065847747,0.0846180051977379,4.75476145555046e-06,0.000274313160897142
"516","PLEKHA4","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.242463465705818,0.0673612354602828,0.000318889724500143,0.00737737682073323
"527","PLEC","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.217840774897374,0.0587161896192993,0.000207207506464198,0.00575576406844994
"543","EEF1AKMT3","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.186400580622859,0.0289870719667616,1.27207562529623e-10,4.30126299747732e-08
