"","gene","outcome","method","nsnp","b","se","pval","fdr"
"9","MAPK3","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.17988446297211,0.0406556992138786,9.66293278862243e-06,0.00038830674354279
"13","TUBGCP6","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.202287765574361,0.0632509602688753,0.00138299371946139,0.0217470751538494
"28","TBC1D10B","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.499011101530502,0.131061381763311,0.000140400864157878,0.00359814619192833
"34","DEPDC5","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.262348492387302,0.0903952632102697,0.00370507924381791,0.0490245241407613
"43","HEATR6","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.546863443480632,0.166684333407181,0.00103501046571421,0.0172767131584602
"45","PDE4C","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.34793352605146,0.0509756010016925,8.76248534395787e-12,4.75364829909714e-09
"80","LRRC43","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.1446227676598,0.0489208513836089,0.00311394232571641,0.0422328427925289
"101","UBAC2","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.295831811889069,0.0687773367413685,1.6980062375172e-05,0.000575730239908175
"128","USP2","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.318209795407779,0.0737139334826001,1.58293010321716e-05,0.000554025536126008
"134","SNRNP35","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.27295923004217,0.0855523847607969,0.00142001871806866,0.0220102901300642
"153","MXD3","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.122538854788244,0.0318705011370048,0.000120602150624016,0.00319154471773311
"175","QPRT","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.104196412013405,0.032386290197195,0.00129403204333558,0.0209555935375986
"177","PPA2","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.151602788561724,0.039857546173048,0.000142599342168588,0.00359814619192833
"186","STXBP5L","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.45740141840724,0.150991110627751,0.0024509939384899,0.0349911634639677
"194","TRMT61A","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.202369110220413,0.0611307543224713,0.000931526002457985,0.0157922767604205
"205","MAMSTR","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.183048761878788,0.0546653160480119,0.000812398161083084,0.014216967818954
"210","PLEC","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.165008126686005,0.0465351535605043,0.000391302555423329,0.00786228282656134
"212","DDAH1","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.551359340035403,0.172149393807822,0.00136100490418828,0.0217160341330041
"219","FBF1","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.108292637266515,0.0317592320627984,0.000650104760868625,0.0128247939189538
"231","DIPK1A","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.436644451552349,0.0879382940679877,6.85771068374444e-07,3.54315051993463e-05
"235","MARK3","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.217344530934605,0.0482555395716178,6.66759221961279e-06,0.000314536415577386
"244","INTS8","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.225421068958596,0.0768808963340085,0.00336698162222816,0.045100926668118
"254","TRMT112","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.26916894742413,0.0659746268882404,4.50578192699184e-05,0.00135799260855171
"256","RGS14","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.281672359579727,0.0560344878443032,4.98815709361656e-07,2.70607522328698e-05
"261","SPATA25","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.235476087979417,0.0527438004945589,8.02460667895211e-06,0.00033487300948704
"279","MORF4L1","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.437142401828792,0.120083746386926,0.000272307003027303,0.00645590563339282
"284","CRTAP","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.297309094488338,0.0882040060723304,0.000749779182525226,0.0141398932992982
"289","RMI2","multiple sclerosis || id:ieu-b-18","Wald ratio",1,-0.098055779409323,0.0173227381882828,1.50911269951888e-08,1.60695570724316e-06
"290","OVOL1","multiple sclerosis || id:ieu-b-18","Wald ratio",1,0.103878135270123,0.0232403883601282,7.83203818048171e-06,0.00033487300948704
