"","id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","FDR"
"1","00Xquz","ieu-b-18","multiple sclerosis || id:ieu-b-18","ATN1 (Brain Cerebellar Hemisphere)","Wald ratio",1,0.130626255607752,0.112216213766748,0.244400239688426,0.635215369512775
"2","03eLd2","ieu-b-18","multiple sclerosis || id:ieu-b-18","BBS1 (Brain Cerebellar Hemisphere)","Wald ratio",1,0.126145508028932,0.0680575423609292,0.0638089308324879,0.330167311830488
"3","03gvpc","ieu-b-18","multiple sclerosis || id:ieu-b-18","USE1 (Brain Cerebellar Hemisphere)","Wald ratio",1,0.0339843995286423,0.075775232518787,0.653799930138756,0.90350228701291
"4","09ulyd","ieu-b-18","multiple sclerosis || id:ieu-b-18","THY1 (Brain Cerebellar Hemisphere)","Wald ratio",1,-0.0380952380952381,0.046976597793083,0.417399689266094,0.780124048777009
"5","0cVyYa","ieu-b-18","multiple sclerosis || id:ieu-b-18","RHCE (Brain Cerebellar Hemisphere)","Wald ratio",1,-0.00811646148771283,0.0293869764081093,0.782400243393385,0.950742159064269
"6","0esv9a","ieu-b-18","multiple sclerosis || id:ieu-b-18","NPPB (Brain Cerebellar Hemisphere)","Wald ratio",1,0.00233006447911164,0.0709462650745726,0.973800054099936,0.986924044047374
"7","0IKUiU","ieu-b-18","multiple sclerosis || id:ieu-b-18","WDR97 (Brain Cerebellar Hemisphere)","Wald ratio",1,0.0177539698865936,0.0274580781302879,0.517900841199793,0.840093827220334
"8","0iSPBp","ieu-b-18","multiple sclerosis || id:ieu-b-18","TMEM52 (Brain Cerebellar Hemisphere)","Wald ratio",1,-0.0903786598260115,0.116913456334798,0.439499307903167,0.789419139036262
"9","0KhDfG","ieu-b-18","multiple sclerosis || id:ieu-b-18","DYNLT1 (Brain Cerebellar Hemisphere)","Wald ratio",1,0.571699916805783,0.755301565263384,0.449100127740457,0.796517207690622
"10","0No954","ieu-b-18","multiple sclerosis || id:ieu-b-18","DNAJC4 (Brain Cerebellar Hemisphere)","Wald ratio",1,-0.0343578595161869,0.0968595488077097,0.722800601046577,0.92574622441767
"11","0oj17C","ieu-b-18","multiple sclerosis || id:ieu-b-18","GPD1L (Brain Cerebellar Hemisphere)","Wald ratio",1,-0.0249142965509528,0.063698207156785,0.69570095185881,0.918421221548008
"12","0PBJsp","ieu-b-18","multiple sclerosis || id:ieu-b-18","CATSPER1 (Brain Cerebellar Hemisphere)","Wald ratio",1,0.0523190116837604,0.053521001097622,0.328301031964139,0.71672890895626
"13","0q2Lv6","ieu-b-18","multiple sclerosis || id:ieu-b-18","SMIM24 (Brain Cerebellar Hemisphere)","Wald ratio",1,-0.0123502946799913,0.0445481737724952,0.78159998135366,0.950742159064269
"14","0qpHMV","ieu-b-18","multiple sclerosis || id:ieu-b-18","POPDC2 (Brain Cerebellar Hemisphere)","Wald ratio",1,0.0329836246115926,0.0437208448599111,0.450600569376571,0.797923771203724
"15","0TC2QV","ieu-b-18","multiple sclerosis || id:ieu-b-18","LDLRAP1 (Brain Cerebellar Hemisphere)","Wald ratio",1,-0.0653815325620092,0.0395482662261885,0.0982884233968587,0.412153686214337
"16","0TlQpn","ieu-b-18","multiple sclerosis || id:ieu-b-18","CIAO3 (Brain Cerebellar Hemisphere)","Wald ratio",1,-0.0506079574974441,0.0299790224635617,0.0913896677863288,0.399535375332386
"17","0uSzpc","ieu-b-18","multiple sclerosis || id:ieu-b-18","RDH16 (Brain Cerebellar Hemisphere)","Wald ratio",1,-0.00514089810319075,0.0401439283936132,0.898100177166742,0.967326742287534
"18","0Vvh8o","ieu-b-18","multiple sclerosis || id:ieu-b-18","GRAMD1B (Brain Cerebellar Hemisphere)","Wald ratio",1,-0.0931583504215083,0.064158274474064,0.146499282802827,0.5007611848533
"19","0XRg06","ieu-b-18","multiple sclerosis || id:ieu-b-18","CTSH (Brain Cerebellar Hemisphere)","Wald ratio",1,0.0031637904540163,0.0547272642607683,0.953899866299778,0.981092638157602
"20","0zMRMD","ieu-b-18","multiple sclerosis || id:ieu-b-18","PGAP3 (Brain Cerebellar Hemisphere)","Wald ratio",1,-0.171106898147457,0.0866216841571004,0.0482300735700997,0.274765267611477
"21","0zvztq","ieu-b-18","multiple sclerosis || id:ieu-b-18","ZFP41 (Brain Cerebellar Hemisphere)","Wald ratio",1,-0.143719005654,0.0607848917808171,0.0180599377136678,0.142458809377743
"22","14lnY1","ieu-b-18","multiple sclerosis || id:ieu-b-18","PTGDR2 (Brain Cerebellar Hemisphere)","Wald ratio",1,0.0884392754208826,0.0450991358893596,0.0498793593047208,0.279427379172058
"23","1FEmHp","ieu-b-18","multiple sclerosis || id:ieu-b-18","NDUFB10 (Brain Cerebellar Hemisphere)","Wald ratio",1,-0.182466732021703,0.102048492142836,0.0737696397608326,0.352593871399234
"24","1GEyjg","ieu-b-18","multiple sclerosis || id:ieu-b-18","CCDC154 (Brain Cerebellar Hemisphere)","Wald ratio",1,0.0179226131162492,0.0242468205847084,0.459801502894841,0.801632295618826
"25","1i1x1C","ieu-b-18","multiple sclerosis || id:ieu-b-18","FAM193B (Brain Cerebellar Hemisphere)","Wald ratio",1,0.136630988069856,0.0937715776144763,0.145099308866249,0.499199412473393
"26","1Lgevc","ieu-b-18","multiple sclerosis || id:ieu-b-18","PAMR1 (Brain Cerebellar Hemisphere)","Wald ratio",1,0.146487849904821,0.0776666136956103,0.0592800061447901,0.311013241541038
"27","1MJKHp","ieu-b-18","multiple sclerosis || id:ieu-b-18","RFC1 (Brain Cerebellar Hemisphere)","Wald ratio",1,-0.00520643585990663,0.0606582224041176,0.931599714891422,0.969851603867804
