"","id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","FDR"
"1","005wDe","ieu-b-18","multiple sclerosis || id:ieu-b-18","APOC2 (Brain Frontal Cortex BA9)","Wald ratio",1,0.107707886346775,0.0714695915461892,0.131799138269735,0.475183866328815
"2","02AmDg","ieu-b-18","multiple sclerosis || id:ieu-b-18","RNH1 (Brain Frontal Cortex BA9)","Wald ratio",1,0.234563142437592,0.089401711878816,0.00869807295178489,0.0787008331502844
"3","02JnoM","ieu-b-18","multiple sclerosis || id:ieu-b-18","ZDHHC24 (Brain Frontal Cortex BA9)","Wald ratio",1,0.0172724315261321,0.0239232492085935,0.470298445597015,0.807279842080235
"4","04N5Kv","ieu-b-18","multiple sclerosis || id:ieu-b-18","COL24A1 (Brain Frontal Cortex BA9)","Wald ratio",1,-0.0505611722264285,0.0943409566650336,0.591999432984927,0.879694129221846
"5","05NElK","ieu-b-18","multiple sclerosis || id:ieu-b-18","ZNF177 (Brain Frontal Cortex BA9)","Wald ratio",1,-0.0268704115941746,0.0802340437463579,0.737700236808023,0.947047365952985
"6","09dVXc","ieu-b-18","multiple sclerosis || id:ieu-b-18","PRXL2B (Brain Frontal Cortex BA9)","Wald ratio",1,0.0516566546823402,0.0952262558184093,0.587500065110674,0.877519938522451
"7","0KRQCA","ieu-b-18","multiple sclerosis || id:ieu-b-18","RHCE (Brain Frontal Cortex BA9)","Wald ratio",1,-0.0257011401761205,0.040335109247951,0.52400089820866,0.831509013852191
"8","0KUO7J","ieu-b-18","multiple sclerosis || id:ieu-b-18","H3-3B (Brain Frontal Cortex BA9)","Wald ratio",1,0.469267329768681,0.168637766151134,0.00539095953375882,0.0596810931913771
"9","0MXiXf","ieu-b-18","multiple sclerosis || id:ieu-b-18","TSPAN17 (Brain Frontal Cortex BA9)","Wald ratio",1,0.0632362291197041,0.0781296704567036,0.418299278373263,0.776370061043867
"10","0nuCu6","ieu-b-18","multiple sclerosis || id:ieu-b-18","LY6H (Brain Frontal Cortex BA9)","Wald ratio",1,0.104893477378516,0.0897095779683412,0.242300437204067,0.638424745027422
"11","0PSgFb","ieu-b-18","multiple sclerosis || id:ieu-b-18","SCRN2 (Brain Frontal Cortex BA9)","Wald ratio",1,-0.141130352770584,0.0670777152091033,0.0353799555878593,0.219029856632734
"12","0qfZwm","ieu-b-18","multiple sclerosis || id:ieu-b-18","HBQ1 (Brain Frontal Cortex BA9)","Wald ratio",1,0.00328333130962421,0.0970080828036138,0.972999989270833,0.990627358630837
"13","0QIldx","ieu-b-18","multiple sclerosis || id:ieu-b-18","KIAA0513 (Brain Frontal Cortex BA9)","Inverse variance weighted",2,0.00110482487372835,0.18371405567908,0.99520168779485,0.997199995728435
"14","0r7RKr","ieu-b-18","multiple sclerosis || id:ieu-b-18","LDLRAP1 (Brain Frontal Cortex BA9)","Wald ratio",1,-0.0868001508222714,0.0528019748694002,0.100200834171607,0.416605428147196
"15","0sKAIC","ieu-b-18","multiple sclerosis || id:ieu-b-18","KLHL26 (Brain Frontal Cortex BA9)","Wald ratio",1,-0.0954001995706208,0.108577908137038,0.37959996528119,0.763255485747008
"16","0U5WgC","ieu-b-18","multiple sclerosis || id:ieu-b-18","CYTH2 (Brain Frontal Cortex BA9)","Inverse variance weighted",2,-0.25965317109095,0.198488847746083,0.190822463004116,0.563422863883704
"17","0ucjXo","ieu-b-18","multiple sclerosis || id:ieu-b-18","ARHGEF11 (Brain Frontal Cortex BA9)","Wald ratio",1,-0.120427189843855,0.167704387921613,0.472700523896078,0.807279842080235
"18","0w3LJN","ieu-b-18","multiple sclerosis || id:ieu-b-18","SFI1 (Brain Frontal Cortex BA9)","Wald ratio",1,0.0220690462756954,0.101635493291603,0.828099891779451,0.974660495778921
"19","0YcIuj","ieu-b-18","multiple sclerosis || id:ieu-b-18","TRMT61A (Brain Frontal Cortex BA9)","Wald ratio",1,0.216360868192874,0.0653573218960619,0.000931526002457985,0.0151132063502235
"20","0Zvxld","ieu-b-18","multiple sclerosis || id:ieu-b-18","LRRC61 (Brain Frontal Cortex BA9)","Wald ratio",1,0.0181102862989564,0.0205256234162844,0.377600669462372,0.762469252387572
"21","12LpKP","ieu-b-18","multiple sclerosis || id:ieu-b-18","CAMLG (Brain Frontal Cortex BA9)","Wald ratio",1,-0.0128791417600253,0.0210319464787617,0.540299002455411,0.842387434840868
"22","15byji","ieu-b-18","multiple sclerosis || id:ieu-b-18","CLPSL1 (Brain Frontal Cortex BA9)","Wald ratio",1,-0.0954479771646654,0.0350372736954207,0.00644606010692829,0.0657068778176578
"23","1AHn76","ieu-b-18","multiple sclerosis || id:ieu-b-18","STX4 (Brain Frontal Cortex BA9)","Wald ratio",1,0.155619410297214,0.0589414397198113,0.0082847900698793,0.0764312495662394
"24","1aqzqp","ieu-b-18","multiple sclerosis || id:ieu-b-18","PACC1 (Brain Frontal Cortex BA9)","Wald ratio",1,-0.107141585392392,0.0824348651803201,0.193699688060388,0.566640460440126
"25","1coaQU","ieu-b-18","multiple sclerosis || id:ieu-b-18","LUZP1 (Brain Frontal Cortex BA9)","Wald ratio",1,0.0408572825164973,0.126754316603649,0.747199339815849,0.947047365952985
"26","1eG2qn","ieu-b-18","multiple sclerosis || id:ieu-b-18","ADAR (Brain Frontal Cortex BA9)","Wald ratio",1,-0.018137561988016,0.0892713508964053,0.838999519546773,0.977102163234546
"27","1folyy","ieu-b-18","multiple sclerosis || id:ieu-b-18","COX7A2L (Brain Frontal Cortex BA9)","Inverse variance weighted",2,-0.0258597913681833,0.0741325657014474,0.727215638525053,0.946486743917116
"28","1fWbsd","ieu-b-18","multiple sclerosis || id:ieu-b-18","PABPC1L (Brain Frontal Cortex BA9)","Wald ratio",1,-0.107656400164752,0.039232158929198,0.00606797232890697,0.0634197640105213
"29","1GiuLd","ieu-b-18","multiple sclerosis || id:ieu-b-18","OSM (Brain Frontal Cortex BA9)","Wald ratio",1,0.0848311441416925,0.0541486682790156,0.117200268608382,0.447823277601824
"30","1GSPcn","ieu-b-18","multiple sclerosis || id:ieu-b-18","DENND1C (Brain Frontal Cortex BA9)","Wald ratio",1,-0.0946643458925488,0.0410159613973855,0.0209998050458585,0.143194322812702
"31","1haraZ","ieu-b-18","multiple sclerosis || id:ieu-b-18","MS4A14 (Brain Frontal Cortex BA9)","Wald ratio",1,-0.0393915908197648,0.0386011049138194,0.307501664611389,0.708858014275507
"32","1hgcS3","ieu-b-18","multiple sclerosis || id:ieu-b-18","REEP3 (Brain Frontal Cortex BA9)","Wald ratio",1,-0.223919890873016,0.156771763392857,0.153200423828649,0.514862852938424
"33","1izjuV","ieu-b-18","multiple sclerosis || id:ieu-b-18","FCHSD1 (Brain Frontal Cortex BA9)","Wald ratio",1,0.151141924522032,0.0880887168959806,0.0862001006648191,0.379099890661268
"34","1qlbAY","ieu-b-18","multiple sclerosis || id:ieu-b-18","VPS33A (Brain Frontal Cortex BA9)","Wald ratio",1,0.198347027932455,0.0914782244556114,0.0301401960010002,0.19293826147579
"35","1Qm2gx","ieu-b-18","multiple sclerosis || id:ieu-b-18","RIF1 (Brain Frontal Cortex BA9)","Wald ratio",1,0.0303106808686516,0.0465217088194725,0.514698981521419,0.829485780796956
"36","1RyzCf","ieu-b-18","multiple sclerosis || id:ieu-b-18","TEC (Brain Frontal Cortex BA9)","Wald ratio",1,-0.168724188227712,0.048112295519882,0.000453388557037248,0.00927475287330544
"37","1sDcsB","ieu-b-18","multiple sclerosis || id:ieu-b-18","SLC13A3 (Brain Frontal Cortex BA9)","Wald ratio",1,-0.0277811582710587,0.0326749554047641,0.395198400582823,0.773018940400654
"38","1SrbcC","ieu-b-18","multiple sclerosis || id:ieu-b-18","AMOTL1 (Brain Frontal Cortex BA9)","Wald ratio",1,-0.618119145436987,0.188340435568333,0.00103101098752493,0.0164437515128976
"39","1tIc35","ieu-b-18","multiple sclerosis || id:ieu-b-18","KLRD1 (Brain Frontal Cortex BA9)","Wald ratio",1,-0.0426589293156982,0.0424821014158563,0.315300337696975,0.714933035331347
"40","1TUfrN","ieu-b-18","multiple sclerosis || id:ieu-b-18","ACAT2 (Brain Frontal Cortex BA9)","Wald ratio",1,0.171616266011295,0.0683623313422633,0.0120597123826343,0.0986799074092076
"41","1UanGt","ieu-b-18","multiple sclerosis || id:ieu-b-18","RIOK1 (Brain Frontal Cortex BA9)","Wald ratio",1,0.0124530971646372,0.0530767686360493,0.814500384178032,0.97105972087004
"42","1urLkh","ieu-b-18","multiple sclerosis || id:ieu-b-18","B4GALNT4 (Brain Frontal Cortex BA9)","Wald ratio",1,-0.0330898987412859,0.0957673094855946,0.729700510642202,0.947047365952985
"43","21xysp","ieu-b-18","multiple sclerosis || id:ieu-b-18","APOBEC3C (Brain Frontal Cortex BA9)","Wald ratio",1,-0.0876127441900229,0.0759211894957325,0.248501834784543,0.642081257042132
"44","23BF8A","ieu-b-18","multiple sclerosis || id:ieu-b-18","MAPK13 (Brain Frontal Cortex BA9)","Wald ratio",1,-0.0294084763095103,0.0632762510753648,0.642101005560006,0.91233016120943
"45","24CaWV","ieu-b-18","multiple sclerosis || id:ieu-b-18","KCTD17 (Brain Frontal Cortex BA9)","Wald ratio",1,0.138407594645231,0.128356935765797,0.28089881681578,0.681080597317579
"46","25XxxH","ieu-b-18","multiple sclerosis || id:ieu-b-18","TST (Brain Frontal Cortex BA9)","Wald ratio",1,-0.0270351735111969,0.0729404035195689,0.71090014616931,0.934193989704245
